,maturity,rates
0,0.3287671232876712,0.05087981342046444
1,1.2109589041095892,0.05361890548917681
2,1.5561643835616439,0.05415917143762556
3,1.824657534246576,0.04324164635077972
4,1.8821917808219173,0.05443265272354569
5,2.476712328767124,0.0541571449099562
6,2.8602739726027395,0.05449658326455298
7,2.9945205479452053,0.05487448560894353
8,3.4739726027397264,0.055062612378515834
9,3.5506849315068494,0.055555280750717896
10,4.087671232876712,0.0565980328166139
11,4.471232876712329,0.05732476148194781
12,4.720547945205479,0.05742692249421249
13,5.794520547945205,0.05874699713432295
14,6.638356164383563,0.05956208969516553
15,6.695890410958903,0.0601118187412979
16,7.021917808219178,0.05987141646353281
17,7.693150684931508,0.06026970414950701
18,7.980821917808219,0.060582256031273936
19,9.323287671232876,0.0605099707405616
20,10.205479452054792,0.061449006751853726
21,11.643835616438356,0.06230894733413605
22,13.158904109589045,0.06267659675952482
23,14.29041095890411,0.0633754031920863
24,16.035616438356165,0.0670190726650537
25,19.142465753424663,0.06417757179269093
