TRADEDATE,Short,Medium,Long
2014-01-09,103.24439886493347,117.08432856451378,142.94383393042142
2014-01-10,103.06456343710681,116.68325802037577,133.51428602736956
2014-01-13,103.21707257464179,116.48517016405943,138.08726959206837
2014-01-14,103.49048434059274,116.38517667754883,137.29578109276787
2014-01-15,103.8961278843912,115.95469962081049,151.69226334203177
2014-01-16,102.81520892957658,116.22812984188735,142.11737231768058
2014-01-17,103.06108692602879,116.12778068015172,134.4011023002029
2014-01-20,103.28274762615057,116.18045640972011,141.34738161784028
2014-01-21,103.48704311617067,115.29727885586112,145.72662115444624
2014-01-22,103.25433374274165,116.10610868399854,136.10048960821308
2014-01-23,103.07752344965054,115.3766905411609,139.56516695607962
2014-01-24,103.25952677340845,114.71838218479024,149.63153935676957
2014-01-27,102.74254360440634,114.10624567504732,136.87833368869383
2014-01-28,102.63061976957769,114.16267178374198,143.11424265673043
2014-01-29,102.41388840210861,114.16129027997701,137.4705778990056
2014-01-30,102.31628585273535,112.51995688646045,137.7793055260959
2014-01-31,101.72816683083555,113.6378176138104,132.844726764836
2014-02-03,101.64192260411494,113.26793704460408,134.30253614846785
2014-02-04,101.87585032041576,113.99921348618884,134.55595572276638
2014-02-05,103.33796821160033,114.74852811308003,143.0396263525603
2014-02-06,102.29418269139035,114.5986217838803,140.5510071984872
2014-02-07,102.62190460429966,114.58174475981,141.9111659939428
2014-02-10,102.68858226182101,114.5599950319646,142.5103782988248
2014-02-11,102.52354950844509,114.32083364050924,141.01340160244064
2014-02-12,102.8511576339101,114.31567684862277,146.81405206814912
2014-02-13,102.14543761597461,114.20195737679403,135.67027649659045
2014-02-14,102.46830204944534,113.54420537481624,146.1872395039059
2014-02-17,102.10337614132452,114.09514225865247,137.1565846504703
2014-02-18,102.52367248248233,113.47695488703889,142.91075784312056
2014-02-19,102.33112653206781,112.99464794124356,149.93148658414995
2014-02-20,101.70414851332576,112.66393752904261,131.69126479699574
2014-02-21,101.5265583316489,112.74414546289518,134.23450465481284
2014-02-24,101.65223719184068,113.05512386164449,135.47405050860792
2014-02-25,101.58479282614817,113.49698068847307,132.11977792952712
2014-02-26,101.40484481641731,113.2602732730377,133.30550614661607
2014-02-27,101.01651903520583,112.99373293122632,134.26333280475373
2014-02-28,101.8637510931573,112.3486541576705,138.72570539861735
2014-03-03,100.71504753398952,110.15752564161524,135.16865483060266
2014-03-04,100.53268721264209,110.0380698660858,135.46645928008283
2014-03-05,100.66287480954102,110.8410806459786,137.66571263712453
2014-03-06,100.04379143176958,110.23947640446511,131.30013685392078
2014-03-07,99.76372450936333,109.9512087503447,138.30466780446477
2014-03-11,98.99764070579339,109.6304952814344,139.9213601483789
2014-03-12,98.80545284862114,106.3519914099949,138.09666452327983
2014-03-13,98.47380525270644,106.59827572761219,134.40106404989828
2014-03-14,98.14503485605034,105.37782787298107,120.83501864092977
2014-03-17,98.79783083269982,106.55965019946743,125.91818198280296
2014-03-18,98.5660722822715,105.60636136730287,131.26358524891634
2014-03-19,99.15648758309916,106.29657106705051,123.67648847897316
2014-03-20,99.17778385764593,107.23364208025278,125.796534176268
2014-03-21,98.68520219632505,105.18282762667732,123.45609208017486
2014-03-24,99.179821485315,106.24702271818796,122.32441598392549
2014-03-25,98.86009107345258,107.03914566605565,128.15916177217005
2014-03-26,99.18532629849433,108.06296028811947,132.7537768273385
2014-03-27,99.39272961989991,107.45495479021574,127.99048778389643
