TRADEDATE,Short,Medium,Long
2014-01-09,103.4707819976392,116.85040477950571,144.18199936334113
2014-01-10,103.3699909103957,116.36974236453356,140.17126334913976
2014-01-13,103.6405048383252,116.16502240360806,144.29383560183612
2014-01-14,125.97180707512155,85.73079912273244,87.04430890251155
2014-01-15,103.71674032306734,116.3838112251089,146.54452438783582
2014-01-16,103.57829088703122,115.83630157889101,143.44891452009995
2014-01-17,103.48361731232863,115.74920942758408,142.97664638521408
2014-01-20,103.86204661383071,115.66001115062286,142.6863519287629
2014-01-21,103.41468188595036,115.50501817224273,143.20110478717044
2014-01-22,103.72196985059311,115.5599169704275,139.38357809809312
2014-01-23,103.44737885402952,114.99201891885699,140.7910782956475
2014-01-24,103.10017783882287,115.18378126252922,143.8783456248367
2014-01-27,101.6313719727348,114.84199402469622,137.26837593957526
2014-01-28,102.89876367251895,114.11662304114755,141.45382218440162
2014-01-29,102.65453391114968,113.86307442872285,138.49273393459103
2014-01-30,102.39979979887258,112.47308577238898,137.91040813720844
2014-01-31,102.57983632193606,112.80671606842984,139.41943455624212
2014-02-03,102.14395380365434,112.67665319750046,137.41816457724883
2014-02-04,102.25218684812074,113.39549617480054,137.80324348309136
2014-02-05,103.32495445740862,114.81553216378308,141.66029610626276
2014-02-06,102.56829619380314,114.34384593006206,141.28293311277133
2014-02-07,102.6934430258592,114.56029397201524,141.8572810559978
2014-02-10,102.77294657268594,114.53877595202815,142.52747078983165
2014-02-11,102.71369813645774,114.24052327163683,141.67990517304037
2014-02-12,102.87277934403932,114.45136987943032,142.21768791542755
2014-02-13,102.49383258383034,113.96915046279595,141.61881516657002
2014-02-14,102.40041742923901,113.90308091078423,141.9780740867583
2014-02-17,102.51705057548266,113.88803087175383,141.1195092624538
2014-02-18,102.4031553192402,113.72427970308513,141.55223463522807
2014-02-19,109.08627388805729,83.22291309905762,81.32192135425785
2014-02-20,102.06887448617562,112.43877742970571,139.01014999772636
2014-02-21,101.984718787882,112.54137839839129,139.4202875830894
2014-02-24,101.99257172919269,112.82732595741896,139.89641244467077
2014-02-25,101.94456162060474,113.22910809840229,141.20517450116938
2014-02-26,101.72118355923625,112.84505164688005,135.66158387491598
2014-02-27,101.69417219412917,112.12771968392988,138.79895165037738
2014-02-28,101.83901039290348,112.34715115389679,138.9961595986535
2014-03-03,100.63332352009131,111.9453149046696,117.232674940661
2014-03-04,100.80592895024652,109.83996652912046,135.58480124417258
2014-03-05,100.74501970440878,110.57000336818362,139.58134341217362
2014-03-06,99.97589180635148,110.23587492964228,133.3507307277309
2014-03-07,100.10818811548066,109.72960341178079,138.02976751987896
2014-03-11,98.48538722272409,109.9476332802949,141.72025358731608
2014-03-12,98.54664998158272,106.8140444297392,111.2527051369279
2014-03-13,98.09648953805541,107.01127457916265,132.18023372905253
2014-03-14,98.2156312717652,105.3029205936018,127.0800656252171
2014-03-17,98.69262633165086,106.64417999039517,129.8737705628292
2014-03-18,98.54496686951111,105.71302256617207,129.28325376131565
2014-03-19,99.18087155291713,105.79826243824796,127.21594996804238
2014-03-20,99.34770996924446,106.82019188259525,129.138673298507
2014-03-21,98.80652905341177,104.90616442259818,125.43973152423168
2014-03-24,98.92349399492808,106.58055701708948,120.142421113269
2014-03-25,99.05855182532122,106.82406317748399,128.94919400367007
2014-03-26,99.51329936263947,107.78133876820604,133.12715901106898
2014-03-27,99.42921632603792,107.40034529497854,128.20726597758323
2014-03-28,99.38234568097889,107.69159954405481,125.48929544475395
