TRADEDATE,short,medium,long
2014-01-09,103.4701409302345,116.84646991119871,144.20824901725047
2014-01-10,103.6293794807867,116.16648836150648,143.59502847546693
2014-01-13,103.63521066899375,116.1672015742422,144.271323695996
2014-01-14,103.730186584343,116.013609948111,143.35634902643994
2014-01-15,103.71616870957189,116.38181168093904,146.53963913246122
2014-01-16,103.5924140155901,115.81998759397251,143.476293747827
2014-01-17,103.48325883486356,115.74769113223537,142.98736454907984
2014-01-20,103.8492192015295,115.66757992337165,142.6638116344506
2014-01-21,103.47487576479416,115.47359023453926,143.27556379923865
2014-01-22,103.71666587412234,115.59491615589104,139.11985707755912
2014-01-23,103.39551414695617,115.05778217162869,140.52164164568282
2014-01-24,103.16117507530755,115.16270413669122,143.98760214634405
2014-01-27,102.95252470611133,113.90933628808065,137.3090487664443
2014-01-28,102.93982082839014,114.10027513983553,141.54047455902324
2014-01-29,102.64983490032215,113.87089766037965,138.4376948001169
2014-01-30,102.39638709839693,112.47872121481234,137.89860409472365
2014-01-31,102.29617599898134,112.93235394021278,137.20121504018692
2014-02-03,102.10691107303947,112.72862526591669,137.20153318839243
2014-02-04,102.25466771571668,113.38990030979423,137.80748327554693
2014-02-05,102.94445774607854,115.33836691738571,138.86697692222054
2014-02-06,102.56943740625545,114.34413441955601,141.2879126712417
2014-02-07,102.67373548339454,114.5828165455531,141.74397194665306
2014-02-10,102.70963555672753,114.58251273207138,142.2527219704764
2014-02-11,102.71222604919495,114.23996519381377,141.66985682394588
2014-02-12,102.85547257241174,114.45397709467397,142.13583320989522
2014-02-13,102.49048891745613,113.97160542435816,141.57214892483395
2014-02-14,102.4567692519098,113.8862708594885,142.11780804679643
2014-02-17,102.51722981742898,113.89042074955884,141.10962244018438
2014-02-18,102.38416873459032,113.73038945496782,141.5542260304027
2014-02-19,101.90255932434839,113.36079496815113,141.8182833129388
2014-02-20,102.02289331859532,112.42219946721283,138.5314330178465
2014-02-21,101.92874123378652,112.53432105697394,139.1158705174227
2014-02-24,102.05553096105173,112.83156847033592,140.1626017254668
2014-02-25,101.94829904839435,113.24489993010775,141.44981375084055
2014-02-26,101.74022088157786,112.79166198138641,136.11504313555602
2014-02-27,101.68893096829439,112.12932873720231,138.79368163283877
2014-02-28,101.8392143552823,112.36454855918375,138.8537174574302
2014-03-03,100.68408421167277,110.19627614919735,134.80449011290096
2014-03-04,100.78572783770092,109.92378640967772,134.7453852556329
2014-03-05,100.65348620144923,110.89573826457476,137.33744575919093
2014-03-06,100.20278816108512,110.10247043456133,136.05247111648495
2014-03-07,99.95295746247864,109.9868652790397,136.1111204086903
2014-03-11,99.4208552460453,109.67320046510676,136.04469422661955
2014-03-12,98.58267548499786,106.59514509615045,129.72411316315547
2014-03-13,98.32933394600705,106.97060588796782,130.91880526125746
2014-03-14,98.07142496534937,105.38132066792292,127.5164032550062
2014-03-17,98.677542477711,106.63661705972939,129.77884581099713
2014-03-18,98.49858042524365,105.82188673468494,128.0303280202034
2014-03-19,99.1467504173117,105.80310139725415,127.24294888572157
2014-03-20,99.15197328282673,107.27369709793024,125.53585950846494
2014-03-21,98.84463633362039,104.90298385508675,125.22738886731082
2014-03-24,98.85713816016305,106.7188048965626,119.23526555154439
2014-03-25,99.06074995951491,106.81623506055669,128.907705633286
2014-03-26,99.33813677312995,107.97974806540566,132.05883716654273
2014-03-27,99.412165677536,107.42695912342788,128.1263855054012
2014-03-28,99.38641012892722,107.68862292512406,125.55965172959293
2014-03-31,100.12544192130011,108.7571888945545,132.66485616234786
2014-04-01,101.0751835924395,109.691970009425,127.64060681864903
2014-04-02,99.54892466895527,108.78735180516885,125.91641138211573
2014-04-03,100.01142115812401,107.76031092102474,129.27026336515584
2014-04-04,100.30209725320691,108.66832836484477,131.40314268603478
2014-04-07,99.90678123763556,108.3527698389543,130.39756786453435
2014-04-08,100.08639165858419,108.41457159083001,130.34093394699565
2014-04-09,100.35888150267446,108.94434170123608,132.1762120239099
2014-04-10,100.14292316804499,108.92349639465917,131.79431790233193
2014-04-11,100.21564045207751,109.24035512842833,129.994667985799
2014-04-14,100.04800471041528,107.9670613431645,128.5090118888195
2014-04-15,99.85431895445836,108.55916395407417,127.9667115713383
2014-04-16,99.59951461051936,107.1079258101733,128.60867829346998
2014-04-17,99.71246758397592,107.30677211897824,128.51896910165
2014-04-18,100.15757297129826,108.02702973287347,130.44072484918522
2014-04-21,99.89519082331371,107.625937607443,130.35744751019345
2014-04-22,99.77081452370555,107.91939635604854,130.899519270359
2014-04-23,100.41202539298732,106.88192279135052,126.95187308326129
2014-04-24,100.08725208507217,106.78551566834005,126.25873880644791
2014-04-25,98.67227113829703,105.22462957464668,126.16819852652705
2014-04-28,98.06426888489153,104.7185234660004,125.92946235574534
2014-04-29,98.37058969012648,105.62347478052206,127.69571540648343
2014-04-30,98.89589096362322,105.51805801218813,125.2765392391066
2014-05-05,98.62783206672395,104.92333990625784,124.35133523317272
2014-05-06,98.3605500337729,105.30613241975365,126.9063057538953
2014-05-07,98.98025801542373,106.66339949452008,127.06706027428504
2014-05-08,99.07804873069682,108.31747719302582,127.1473596457984
2014-05-12,99.19759402029263,108.16619207244855,126.75752142977477
2014-05-13,99.05809647341094,108.0824915814322,131.80187503609173
2014-05-14,99.238920925983,108.20813743496478,132.71813637781202
2014-05-15,99.2309688306942,108.4748364581161,132.12483882933856
2014-05-16,98.97288645050536,108.02072343444206,133.01854026125076
2014-05-19,98.87543940825509,108.84340307624448,119.84873087204355
2014-05-20,99.0785866033969,108.60156851734182,130.26686830719834
2014-05-21,99.53717295044635,109.63538641283532,129.21393248049807
2014-05-22,99.43355356936948,109.39898244774915,130.35999061343648
2014-05-23,99.57095959169233,109.20381817076904,132.80852197457625
2014-05-26,99.73850501695465,110.21682665050302,136.11321073698332
2014-05-27,99.56033504443975,109.41459271766504,133.6581556863006
2014-05-28,99.36619401814806,109.33916837526735,135.29480601225904
2014-05-29,99.62677562334261,109.86086485418613,133.45212139312713
2014-05-30,99.64651808452226,110.31506709867419,126.89235794829985
2014-06-02,99.71273787567408,110.84896967987413,133.33268624594533
2014-06-03,99.74857345367268,110.5255069318246,134.7904487481542
2014-06-04,100.2179245400179,111.38546197336625,127.98374701035722
2014-06-05,99.70594090971387,111.36145125863159,129.73452710396927
2014-06-06,99.91782263526915,111.82109811064637,136.38168941530603
2014-06-09,100.13896644082837,112.09183937001467,125.16132426639041
2014-06-10,99.82551187276704,111.87460320956134,127.530043789808
2014-06-11,99.95258038368476,111.67093254163768,130.6497924341443
2014-06-16,99.38025512335429,110.8278005830249,125.7295758377461
2014-06-17,99.93323315864745,110.0100228265755,134.87267591145473
2014-06-18,100.3253893345969,110.64526417051553,131.27368096184793
2014-06-19,99.72324604159218,111.26937773673953,126.10724609437987
2014-06-20,100.01130443565052,111.11553034562047,131.08963821324463
2014-06-23,99.93768798996244,111.23059383157187,129.33093854551203
2014-06-24,100.0546858166322,111.51017810339565,139.18847003664808
2014-06-25,100.115440459839,111.56895260394518,138.84269104369756
2014-06-26,100.22625297493471,112.01347296643004,139.43382733051718
2014-06-27,100.16362458260443,112.39214402964095,127.45143509136871
2014-06-30,99.98470627874767,111.98160272592713,127.51324846930852
2014-07-01,100.03874300311723,111.76601340576735,134.34534227160017
2014-07-02,100.0753772770296,111.07904555840577,138.07382768569204
2014-07-03,99.98428880634137,111.49642407526152,130.70013539995261
2014-07-04,100.01693682226495,111.618018665307,130.7316514487064
2014-07-07,99.87241196347628,111.36626100811992,129.90527434678955
2014-07-08,99.87480981088751,111.70183704967056,130.56414669923504
2014-07-09,99.9853686520147,111.28849224133043,138.35535615850694
2014-07-10,99.78309196969089,110.82910457242858,136.4335239791038
2014-07-11,99.65046179074098,110.41385775122257,132.11268059450197
2014-07-14,99.35744830406901,110.36300424928184,132.21387449806005
2014-07-15,99.20179249495287,110.32423671081466,130.37383082530323
2014-07-16,99.7201138592296,110.0926601223569,131.13369100480725
2014-07-17,98.85070358728878,108.60192100600212,132.09260526735176
2014-07-18,98.53627364620641,107.91954196516747,133.0027909499897
2014-07-21,98.49814362923189,107.14775533923336,129.99585888869987
2014-07-22,98.59655303007068,107.61993946623076,128.90646352337654
2014-07-23,98.87696912559176,108.03498116411959,133.03493990498956
2014-07-24,98.57612025463803,107.61014168232983,131.7736858810027
2014-07-25,98.04089009839609,106.21128682154787,129.0083242138368
2014-07-28,97.66148904526234,105.7607691893262,126.8795760193141
2014-07-29,97.24022433069159,105.31630877771104,128.35869032187816
2014-07-30,97.20321697763298,105.85902995843684,130.1448767800062
2014-07-31,97.53739601695918,105.26718945771964,135.53348038902473
2014-08-01,97.08687639589118,104.0310914099465,125.56465776596447
2014-08-04,96.75982433445577,103.85055002097418,126.40210941926007
2014-08-05,96.62511174943778,103.39585148768109,125.76711816586598
2014-08-06,97.18616020888886,103.72384523167173,126.92121650659206
2014-08-07,96.22234438885481,102.674727070074,123.46453401187624
2014-08-08,96.4371812121201,102.26089297728359,122.2994661200368
2014-08-11,96.66470729846787,103.9818517640148,126.05545802668503
2014-08-12,97.10794839715749,104.42941189968872,126.45197431839793
2014-08-13,97.20797751355133,105.4121691511732,128.62321504994253
2014-08-14,97.38622858857701,105.72923770234658,129.29971092868985
2014-08-15,97.74237105406513,105.56079623383204,128.42129117874944
2014-08-18,97.49873130780313,105.9860595210028,129.6200259835203
2014-08-19,97.54876072808673,104.97183370833181,127.18787377297885
2014-08-20,97.42858450184679,106.51685124054868,131.1921458820999
2014-08-21,97.42550416102281,105.60843785048903,128.9078189443322
2014-08-22,97.46839268895125,105.6403587498695,129.50193766644168
2014-08-25,97.56800392022605,104.95072842450786,127.11495751367859
2014-08-26,97.58400536112165,105.14534440113421,127.54889281352837
2014-08-27,97.33529277729133,105.98679562365754,130.0052051993525
2014-08-28,97.06008914173235,103.92956123596396,125.36259929107965
2014-08-29,96.69886114788409,102.94969784026887,138.00389006020032
2014-09-01,96.36799382561036,102.10758300691869,124.58897433286435
2014-09-02,96.24317629687937,102.36612636408589,128.45353237445528
2014-09-03,96.62225234412065,103.96881241047774,126.12086557053672
2014-09-04,96.82886495413887,104.14587717430346,126.17710329528138
2014-09-05,97.04673948376652,104.52049832712649,126.73474243984812
2014-09-08,97.01357085716404,104.18192841325327,125.99220018435824
2014-09-09,96.99014388670622,104.61079371027323,127.08041555802335
2014-09-10,96.60231406420081,103.49657879383261,124.89911476029796
2014-09-11,96.8063663620205,103.53142976479307,124.7437462139911
2014-09-12,96.5240009837422,103.32120679894915,124.58895354986316
2014-09-15,96.69526237825335,103.4690477677747,124.72899835847208
2014-09-16,96.34316806573436,103.20487699322913,125.85325412916822
2014-09-17,96.95384339265318,103.59648255498269,124.72317285054277
2014-09-18,97.51299395520523,104.30200722915349,125.60277655516973
2014-09-19,96.75118032690031,104.22912701662788,126.90297296142377
2014-09-22,97.02825885934799,104.24911778179849,126.1860583452887
2014-09-23,97.43903948483835,104.47687645549136,126.1152735485324
2014-09-24,97.16127236864679,104.64439071293725,127.23183892581021
2014-09-25,97.80687038081354,105.07291623911814,127.12132299571515
2014-09-26,97.43509087438353,104.65887184098128,126.59188587404233
2014-09-29,97.29931749901876,105.19137400137191,128.02320661597875
2014-09-30,97.4637843498501,105.27584772465107,128.57771495184676
2014-10-01,97.21968145618443,104.86428683865499,129.0492747092736
2014-10-02,97.27245897552169,104.93357574387154,129.9340588685918
2014-10-03,96.85736177955083,104.24687712343407,128.4532371397857
2014-10-06,96.8751368125169,103.95085158660807,128.34185079853293
2014-10-07,96.69230640597166,104.29239482732325,126.79121528071853
2014-10-08,96.6030254957688,103.64295614310079,125.30256530448725
2014-10-09,96.62871527892835,103.27188130348176,125.49069217745904
2014-10-10,96.1678684272808,102.68368951851095,124.17937694436381
2014-10-13,96.64276384010991,102.54335923697376,134.10416381626402
2014-10-14,96.22825825441873,102.04709060407234,125.95476911454206
2014-10-15,96.13928257869217,102.09978369438599,122.2651324154646
2014-10-16,96.24555758198076,102.31264001101242,122.6234901057066
2014-10-17,96.08933614646114,102.5771669106044,123.9055233742183
2014-10-20,96.01182401417346,102.54796114953433,123.73069471955093
2014-10-21,96.23204621281067,102.5473445276911,123.31444626136617
2014-10-22,97.05256414143975,102.81164157098587,122.7759410360627
2014-10-23,95.98681288788671,102.12803245035136,123.97462521344403
2014-10-24,96.20635887236041,102.15866942616567,122.32299789316188
2014-10-27,95.83927843111694,101.93317898426997,122.47628548569983
2014-10-28,95.86777627760334,101.5382307926252,121.31099965871178
2014-10-29,95.73774913799795,100.95412899723597,120.16252056197405
2014-10-30,95.51779959563912,101.06066707404511,120.63130991057551
2014-10-31,95.28771107595018,101.98093413976551,123.53226961408558
2014-11-03,95.5777416429727,101.32914574299913,121.16192350006013
2014-11-05,95.22454378883276,101.5551903395882,122.79374378117645
2014-11-06,95.26838196554469,101.36432185009282,122.12113194010773
2014-11-07,95.29517691114532,100.76731429218927,120.22222131295071
2014-11-10,95.3420507316172,101.27508153238674,127.31278656989095
2014-11-11,95.23041530722762,100.68865100106312,124.43198010712335
2014-11-12,94.76508329005122,100.46471728085734,120.76455849010952
