TRADEDATE,Short,Medium,Long
2014-01-09,103.04676122840301,117.30459534390073,141.3336407974971
2014-01-10,103.63053332093858,116.16548749506461,143.60579381218582
2014-01-13,103.6263879443193,116.08411677221939,148.80584378365242
2014-01-14,103.71057478601348,115.97125970869723,146.6375545525362
2014-01-15,103.897858358021,115.95816295870698,152.20862632855122
2014-01-16,103.41609029465448,115.96293389072332,143.88698133306045
2014-01-17,102.99102220354246,116.20400522107177,133.35420326217508
2014-01-20,103.84922588083671,115.66752963824203,142.6637889292057
2014-01-21,102.30682551928874,116.38273471692176,138.23192786344802
2014-01-22,103.23506248145064,116.13252278651456,135.8144401543544
2014-01-23,103.39132273259325,115.06517393111082,140.50594373777466
2014-01-24,103.24629755002857,114.73102624049474,149.64556690470934
2014-01-27,102.95251071966473,113.90933342997856,137.30903200921182
2014-01-28,102.93642045832154,113.87651074925884,143.24265809458677
2014-01-29,102.64983558856467,113.87090965521469,138.43772019072856
2014-01-30,102.37634170009734,112.34560126403468,138.99022932049883
2014-01-31,99.8971222452686,113.4399970178571,145.00830485627736
2014-02-03,101.15545446026346,113.8481271237322,130.87766484438276
2014-02-04,102.25466692492095,113.38989354037918,137.80742150696
2014-02-05,102.86813541027018,115.43699865457013,138.68059614524503
2014-02-06,102.1445824139247,114.79296596822167,139.2785676075391
2014-02-07,102.66239062261604,114.5648606303122,141.6777637877696
2014-02-10,102.6927136145701,114.59319422008511,142.24557025418065
2014-02-11,102.71222181711522,114.23996693208362,141.66984925954637
2014-02-12,102.36987173522203,114.76568148336568,135.20679272289686
2014-02-13,102.24675577315836,114.06243441895653,140.41662579333968
2014-02-14,101.9606912697444,114.27449343575148,140.8978571253379
2014-02-17,102.19201381740733,114.00124412067913,139.53084351774734
2014-02-18,101.88544380307863,114.18994658833768,140.15305225870384
2014-02-19,97.79050174998855,114.71882880547182,176.52227153371936
2014-02-20,102.02156172298503,112.42268826044861,138.5192164100553
2014-02-21,101.92463305166422,112.51572634052698,139.10667660450812
2014-02-24,102.00521063619684,112.8212480501456,140.00653458661844
2014-02-25,98.71046973122168,114.80144352347725,166.67943280307642
2014-02-26,101.6211428508073,112.94043686115191,135.6387323724335
2014-02-27,101.11126091685419,112.85013829061052,135.26347447629786
2014-02-28,101.83923233172928,112.36456670225459,138.85372846254222
2014-03-03,100.5774393571107,110.23072888932555,134.55666408890417
2014-03-04,100.87542948813191,109.79202458548255,136.53444110615533
2014-03-05,100.74471255662299,110.56894123690466,139.58381607579759
2014-03-06,100.21452532840689,110.08730791724739,135.87955522508108
2014-03-07,97.1082579571922,109.60743629275782,167.11807368054465
2014-03-11,98.93884284037938,109.70475433350313,139.44522326307046
2014-03-12,98.41983501521236,106.73635354881434,130.95709982379412
2014-03-13,98.26059734324161,106.97921790920465,131.35223312996592
2014-03-14,98.18504721941085,105.33921461607858,122.16419242096146
2014-03-17,98.72841228121356,106.63105018083067,123.76058753009755
2014-03-18,98.11993981254031,106.31740515331111,126.15045697232344
2014-03-19,99.20230428885205,106.20833647634815,124.34485965491038
2014-03-20,99.15522450899954,107.25467402988176,125.6535907847975
2014-03-21,98.85704294913145,104.89080255567679,124.83270302664121
2014-03-24,99.16263961783653,106.22212396772336,122.62227167295954
2014-03-25,98.67979000785962,107.34739581334895,125.7730250820556
2014-03-26,99.50977267666238,107.78919500773874,133.10892124192114
2014-03-27,99.41216685958842,107.42696200983673,128.12639770051712
