,maturity,rates
0,0.03561643835616438,0.10126630394108536
1,0.035617438356164384,0.00135598882306243
2,0.7452054794520548,0.02051144828286315
3,0.8986301369863013,0.023809176782566232
4,1.5315068493150683,0.032441797989197746
5,1.6493150684931508,0.03338329413162043
6,2.0493150684931507,0.033209485466808394
7,2.106849315068493,0.03747665274517186
8,2.6054794520547944,0.04215519560187907
9,2.6630136986301367,0.034418749143071616
10,2.8164383561643835,0.04408477952222722
11,3.3917808219178083,0.04707287406318647
12,3.8520547945205488,0.048772108057219266
13,4.734246575342466,0.0518256778529456
14,5.079452054794522,0.052972174573460415
15,5.347945205479452,0.05139785463026456
16,6.0,0.055187029636604906
17,6.5178082191780815,0.0564437544288535
18,7.073972602739726,0.057729061766958814
19,10.161643835616438,0.06161175772646734
20,10.545205479452054,0.06171804960449453
21,11.504109589041095,0.06308339849711389
22,15.167123287671233,0.0672487460280055
23,19.558904109589037,0.06798271104507746
