Бумага;ISIN;Торговый код;Номер платежа;Дата фактической выплаты;Ставка купона, % годовых;Сумма купона, RUB;Погашение номинала, RUB
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;3;29.01.2014;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;4;30.07.2014;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;5;28.01.2015;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;6;29.07.2015;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;7;27.01.2016;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;8;27.07.2016;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;9;25.01.2017;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;10;26.07.2017;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;11;24.01.2018;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;12;25.07.2018;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;13;23.01.2019;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;14;24.07.2019;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;15;22.01.2020;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;16;22.07.2020;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;17;20.01.2021;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;18;21.07.2021;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;19;19.01.2022;7.6;37.9;
Россия, 26209;RU000A0JSMA2;SU26209RMFS5;20;20.07.2022;7.6;37.9;1 000
Россия, 26210;RU000A0JTG59;SU26210RMFS3;1;19.06.2013;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;2;18.12.2013;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;3;18.06.2014;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;4;17.12.2014;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;5;17.06.2015;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;6;16.12.2015;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;7;15.06.2016;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;8;14.12.2016;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;9;14.06.2017;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;10;13.12.2017;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;11;13.06.2018;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;12;12.12.2018;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;13;13.06.2019;6.8;33.91;
Россия, 26210;RU000A0JTG59;SU26210RMFS3;14;11.12.2019;6.8;33.91;1 000
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;1;07.08.2013;7;38.93;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;2;05.02.2014;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;3;06.08.2014;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;4;04.02.2015;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;5;05.08.2015;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;6;03.02.2016;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;7;03.08.2016;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;8;01.02.2017;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;9;02.08.2017;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;10;31.01.2018;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;11;01.08.2018;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;12;30.01.2019;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;13;31.07.2019;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;14;29.01.2020;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;15;29.07.2020;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;16;27.01.2021;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;17;28.07.2021;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;18;26.01.2022;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;19;27.07.2022;7;34.9;
Россия, 26211;RU000A0JTJL3;SU26211RMFS1;20;25.01.2023;7;34.9;1 000
Россия, 26212;RU000A0JTK38;SU26212RMFS9;1;07.08.2013;7.05;37.86;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;2;05.02.2014;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;3;06.08.2014;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;4;04.02.2015;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;5;05.08.2015;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;6;03.02.2016;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;7;03.08.2016;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;8;01.02.2017;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;9;02.08.2017;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;10;31.01.2018;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;11;01.08.2018;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;12;30.01.2019;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;13;31.07.2019;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;14;29.01.2020;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;15;29.07.2020;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;16;27.01.2021;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;17;28.07.2021;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;18;26.01.2022;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;19;27.07.2022;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;20;25.01.2023;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;21;26.07.2023;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;22;24.01.2024;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;23;24.07.2024;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;24;22.01.2025;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;25;23.07.2025;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;26;21.01.2026;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;27;22.07.2026;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;28;20.01.2027;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;29;21.07.2027;7.05;35.15;
Россия, 26212;RU000A0JTK38;SU26212RMFS9;30;19.01.2028;7.05;35.15;1 000
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;1;04.12.2013;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;2;04.06.2014;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;3;03.12.2014;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;4;03.06.2015;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;5;02.12.2015;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;6;01.06.2016;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;7;30.11.2016;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;8;31.05.2017;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;9;29.11.2017;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;10;30.05.2018;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;11;28.11.2018;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;12;29.05.2019;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;13;27.11.2019;6.4;31.91;
Россия, 26214;RU000A0JTYA5;SU26214RMFS5;14;27.05.2020;6.4;31.91;1 000
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;1;26.02.2014;7;33.56;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;2;27.08.2014;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;3;25.02.2015;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;4;26.08.2015;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;5;24.02.2016;7;34.9;
Россия, 26215;RU000A0JU4L3;SU26215RMFS2;6;24.08.2016;7;34.9;
