TRADEDATE,SU26205RMFS3,SU26207RMFS9,SU26208RMFS7,SU26209RMFS5,SU26210RMFS3,SU26211RMFS1,SU26212RMFS9,SU26214RMFS5,SU26215RMFS2,SU26216RMFS0,SU26217RMFS8,SU26218RMFS6,SU26219RMFS4,SU46011RMFS1,SU46012RMFS9,SU46018RMFS6,SU46019RMFS4,SU46020RMFS2,SU46022RMFS8,SU46023RMFS6
2016-01-04,0.10120671621628757,0.09889456617126116,0.10834052236157976,,,,0.10065685150456591,,0.10253716884501295,,,,,,,,,,,
2016-01-05,0.10127399997715578,0.09876813696626265,0.10930372211305417,0.10419647858026063,0.10042313733058975,0.10418755132411375,0.1005200984533923,0.10055216752538525,0.10161825960622457,0.10089199519954715,,,,,,,,0.09840328854753068,,
2016-01-06,0.10203307525600303,0.09947579466012123,0.10941757216775218,0.1044994610289337,0.10196019864688374,0.10424353880077467,0.10117422203910295,0.1009533179766896,0.10295379243740972,0.1022998722541527,,,,,0.08441766290306149,0.08974664921223878,,0.09763704658411392,0.09816746964552125,
2016-01-11,0.10701973386306282,0.10361586051150391,0.1147893872943672,0.11101739685849696,0.10740131347795526,0.10987646122329361,0.10671886619609099,0.09506879840463442,0.10859191088937308,0.10654167021194538,,,,,,,,0.09925927667275701,,0.0707137699133608
2016-01-12,0.11054349958140103,0.10630994313894292,0.11622272666466021,0.11415305553539098,0.10945157899156552,0.11332153084582822,0.10891344353266595,0.09865910254350233,0.11040853894632328,0.11065973345073511,,,,,,0.1028755587832507,,0.10078145930731994,,
2016-01-13,0.1097801024729381,0.10626376455834152,0.11762100193983319,0.11419707982181682,0.10996788959445479,0.11300333757685915,0.10868591907449572,0.09841027460822675,0.11070207749826434,0.10998300179108027,,,,,,0.10355436001536492,,0.10259401648461407,,
2016-01-14,0.11026191674889944,0.10747810081569094,0.11752503448419846,0.11441962520575125,0.10932739653470765,0.11319559039876995,0.10999227146707827,0.09851466490799983,0.11075916639878906,0.11009245604937094,,,,,,0.09999890418052733,,0.10160896712801745,0.10486682292205293,
2016-01-15,0.11223247563947353,0.10944177363370966,0.11787192102326444,0.11568435891784017,0.11034422752729826,0.11506769405487614,0.11235651163732623,0.09890978700516545,0.11272624348417991,0.11060887474351734,,,,,0.08632267534521806,0.10446052706917881,,0.10413487704990908,0.10429574998627589,
2016-01-18,0.1124898032526055,0.11031892688464308,0.11953735127129914,0.11560228253278007,0.11155151557001211,0.11549175722786051,0.11298626854968007,0.09974441233545968,0.11335883135614917,0.1113042288304139,,,,,,,,0.10438877564005196,,
2016-01-19,0.11063367055707989,0.10881257260406703,0.1184178611682186,0.11423774848430193,0.1100141579103679,0.11450288174061031,0.11241654834854511,0.098259577522302,0.11233360129252594,0.11174440979348624,,,,,,0.10352102692715025,,0.10441295156548487,0.10326842931864882,
2016-01-20,0.11409151712988633,0.11352793139646242,0.12095917666611498,0.11731658629801553,0.1113706906616884,0.11835198263116371,0.1164113357767297,0.10087089221156026,0.11628483923978795,0.1138614698649298,,,,,,,,0.10443473974996266,,
2016-01-21,0.11380430445946327,0.11319252098996527,0.12108408951021984,0.1181811853220994,0.11299793647387209,0.11789430592030727,0.11574171974346491,0.1012732726274062,0.11577869421709648,0.11313426066939548,,,,,,0.10642669332998607,,0.10418353276693572,,
2016-01-22,0.11065390582362437,0.10920514533711986,0.11830797142761254,0.11483541392560973,0.10955664147556374,0.11433591650815252,0.11158813790197697,0.09776415746313923,0.11241171565529744,0.10990821935320937,,,,,,0.10465137767301168,,0.1043757305262609,,
2016-01-25,0.11196380127773019,0.11008084451698838,0.12012010685068049,0.11568772602133384,0.11021464090971037,0.11578658287371597,0.11231236037012934,0.09944143702220841,0.11270667224787131,0.11156295604097474,,,,,0.09016964183909648,0.1050280930340671,,0.10463313561014749,,
2016-01-26,0.11086662890697643,0.10837634573934694,0.11836902609671573,0.11432091988344768,0.10874943889891849,0.1136965492471842,0.11050093370033559,0.09814856200503395,0.11125516837777667,0.10929895922283997,,,,,,0.1046962855220396,,0.10489098171745567,,
2016-01-27,0.10904902994908285,0.1066607893670806,0.11698155397675811,0.11238610005808257,0.10758925183657939,0.11261650986627368,0.1091944161554271,0.09666898120859646,0.10984139333195736,0.10981889015791278,,,,,,0.10329493103046483,,0.10409512292067201,,
2016-01-28,0.1079621711441793,0.10566579846543749,0.11431928796756001,0.10220989024037365,0.1057045418915233,0.11124230106992557,0.10781220114545495,0.09513428667051163,0.10837089012616888,0.10703140325523909,,,,,,0.10270864626269857,,0.10361178825358286,,
2016-01-29,0.107464602300259,0.10562028881566633,0.11545798672506602,0.10202678213901281,0.1072226464739754,0.11100350736514555,0.1076306249348938,0.09523626453834393,0.10971825277621648,0.10816787542148472,,,,,0.08422786813872947,0.1016178006294732,-0.08964628681041906,0.10606360426129115,0.09531790405293415,
2016-02-01,0.11072866212150564,0.1072789004583926,0.1158313454004472,0.10429355390442628,0.10805408201687433,0.1136946224251068,0.10931593388432312,0.0977722710580274,0.11107599472436333,0.10952520671243282,,,,,0.10500023085490433,,,0.10616296219396451,0.10273123743336786,
2016-02-02,0.11095682583750777,0.10805050079531439,0.11881521562324665,0.1051786127708309,0.10925884225142427,0.11488695443557766,0.11061379943033307,0.09885005994702178,0.11221107459835405,0.11067712851273864,,,,,0.11069861574310642,0.10427607489509777,,0.10652567175934165,0.10278383029746077,
2016-02-03,0.11044636670169343,0.10782188401239735,0.11625926537348982,0.1035247825295448,0.10916834128809759,0.11318488941196612,0.10949924054833328,0.09798021627858357,0.11142992019576269,0.10994929375665626,0.11040112153295896,,,,0.10881571971987107,,,0.1062293295747632,0.1003710377379984,
2016-02-04,0.10833744916810452,0.10654436914356552,0.1001800246665572,0.1030965719871741,0.10851888114512515,0.11147613561273863,0.10858557858223021,0.09565833647157797,0.10958699077017395,0.10818330574281088,0.10798548869117201,,,,0.11078022661788729,0.09776944416732736,,0.1052819311382093,0.10165048194089744,
