TRADEDATE,tau,beta0,beta1,beta2
2014-01-09,29.99989029471908,0.062079284291495646,0.01404433197882395,-0.00016079811051464044
2014-01-10,29.999963048555543,0.1483344982604727,-0.08591520040437642,0.010394792301712436
2014-01-13,13.499433162812872,0.007817757424495638,0.04789230139619147,0.15586867214835137
2014-01-14,1.774738792532983,0.08698306566614203,-0.030404838886951946,-0.023294532977497097
2014-01-15,17.50228299768608,-1.9136493008928294e-07,0.05931794219903144,0.15925269561146913
2014-01-16,2.5418368905028714,0.0866516036518935,-0.03412870809756327,-0.002072817059074655
2014-01-17,4.487118088315896,0.08576815808186011,-0.03150596868216493,0.015923910651700804
2014-01-20,29.99995105198134,0.0929355148381186,-0.030259525556072676,0.07022693639893915
2014-01-21,29.81923252600499,0.3447570565947468,-0.27561334418409444,-0.25935979544208687
2014-01-22,6.27842191716136,0.09601598193035614,-0.04038524177379277,0.008643977107801681
2014-01-23,3.437342416701674,0.0905214857634728,-0.035872389739035955,7.100928647464345e-07
2014-01-24,12.913212568356029,-6.279525511575788e-09,0.05615992457679331,0.17057999023323953
2014-01-27,29.999978055971113,0.18089120802612993,-0.114969706330068,-0.030487594706444632
2014-01-28,29.99995643480385,0.3073904965842562,-0.23583308830473415,-0.22104767702581563
2014-01-29,3.93618548653828,0.09202532869244942,-0.032646614066284246,7.566944473093926e-08
2014-01-30,6.166390596014595,0.07953517867466038,-0.02200086268542572,0.045937318462561896
2014-01-31,14.042973827545364,0.06553588526194848,-0.002089265510974782,0.07665248127549033
2014-02-03,3.4983167625557634,0.09126449968240516,-0.03038780028413857,0.0011794932875792057
2014-02-04,29.999985334302337,0.18410440003224687,-0.11525231386270052,-0.050820534447205704
2014-02-05,0.04999944374548017,0.07497984205785116,0.16540534555131717,-0.038641719793814144
2014-02-06,2.781804067492161,0.0870366962808987,-0.028671580588659117,-2.58233545045096e-06
2014-02-07,2.7579724135771153,0.08673934381147735,-0.028899302062766984,2.9861431542963516e-07
2014-02-10,2.2711885981229907,0.08569021760005947,-0.030003229615897194,2.4967100688642767e-05
2014-02-11,11.616744632806707,0.022882032240089153,0.03568007513407354,0.1332851157084124
2014-02-12,3.784559810785197,0.08396318339642361,-0.029073832754467913,0.01979163594055737
2014-02-13,29.999994839448327,0.12143658234836682,-0.05454034559960193,0.031752633388706916
2014-02-14,1.097548663292499,0.08452268129868575,-0.03221988799599283,-0.011662074088305458
2014-02-17,3.3144143192983577,0.08543880755527333,-0.02903054525788519,0.01364116743371839
2014-02-18,7.064741086336181,0.06335880483367913,-0.006403688168953988,0.07141346955637946
2014-02-19,0.7067851606987764,0.08297145171782477,-0.08297153359449755,0.042497310728150814
2014-02-20,0.8888365189973728,0.08691441397983693,-0.027329063550505284,-0.030424877159820014
2014-02-21,1.5230051255761943,0.08667440341367172,-0.033726044273215766,5.28463601600197e-05
