TRADEDATE,tau1,tau2,beta0,beta1,beta2,beta3
2016-01-04,5.616148786681232,14.879629122710412,5.765879959835559,3.772441332561211,0.7285031731560027,6.042033446237644
2016-01-05,2.9041929696739492,29.999999999998664,6.472344373869932,2.9203341915342174,2.886735402973722,7.5818250512527445
2016-01-06,3.4713302219759825,23.200017269211358,6.233607664096616,3.729385042579136,0.4098578316163715,7.4691549506927775
2016-01-11,1.3233519024190685,8.080570253984348,4.3297630203951165,-4.329763020628073,15.245606736300251,13.18877884811139
2016-01-12,11.844510088770763,6.623792151930925,5.2695281554622815,4.0122229967430165,-0.19909782329294143,6.173180020108487
2016-01-13,11.777503954006702,9.347744113518639,5.453079790902472,4.220872989084357,-1.2700296649031653,6.488569974787983
2016-01-14,10.799908594259772,8.626560274440049,5.193028503265374,4.158440903408083,-0.9603361973851395,7.515522709140691
2016-01-15,8.747425434634955,22.78512439737418,6.519546279312897,4.216210955892231,-2.1092292846553717,6.070665163264305
2016-01-18,14.813473483451357,6.5854156467291265,5.241326267073693,4.0219253788307245,0.006208409701023713,6.36606436765346
2016-01-19,15.078644150498915,10.57674491273869,5.370672728091313,4.156532960994179,-0.17631388655697772,5.75038027215102
2016-01-20,29.999999999790223,13.116904299866075,11.174561332159259,-2.104290844411651,-42.55153473324824,28.616089485462624
2016-01-21,29.172475898060366,18.179182675079495,18.77784902174063,-9.64486813545228,-99.99999999990753,69.65793325869706
2016-01-22,11.383691908270668,8.13575253337025,4.96818466501616,4.11373362065169,-0.6213916991969662,8.532872205961416
2016-01-25,10.204165691809852,17.997964621331086,6.156629544736356,4.245944969751492,-0.2446636153064578,4.089351509415287
2016-01-26,11.586859895242975,9.659746147721965,5.261663368289167,4.090003833923323,-0.9332909086345624,7.843096972220522
2016-01-27,16.251161798684866,10.363023789980508,5.38211213625234,4.03918319215408,0.4265146333123594,4.750672497938575
2016-01-28,4.461543495371523,27.93257992485544,5.650840775512748,3.0772663780323564,5.405975233400292,8.225099153167688
2016-01-29,1.3648791928073971,16.135616008732367,32.99604595513052,31.70436990275888,-100.0,-70.38102011019035
2016-02-01,7.1786461530580095,29.982185746638145,5.770379684434282,3.6120343571818796,4.5946618287508025,5.515307767475564
2016-02-02,18.96846458564418,9.508925897881124,5.263516342673281,4.0655585760860085,1.1462550790319006,4.899399318481507
2016-02-03,4.885905953373582,12.776060654108878,4.075057715755808,2.98328671704284,10.483994297340406,7.4487636766497145
2016-02-04,4.798652036416749,29.978108440839037,3.9533764116812855,2.353612952184591,13.523973720115947,9.132836517180813
2016-02-05,11.140512283809151,22.375713579438024,5.7458485343328825,3.970360742759139,2.379305510262314,5.435481040797556
2016-02-08,5.630790389409523,10.593454845665143,4.347655767859321,2.434909770358147,13.93014040996903,2.3076196306116157
2016-02-09,3.2845214456820506,9.010494457257378,4.040055209611888,2.319283191338702,7.914684165464879,12.452995074347395
2016-02-10,2.482437869421929,20.822792253991857,4.6515798319682204,0.25249479009340303,12.018761527834627,14.649275112580058
2016-02-11,6.490814220637306,24.828852722095643,4.746762698824777,3.253037235850604,9.12174830519293,7.409217735140826
2016-02-12,7.043801097527703,29.979513440806556,5.122180494461635,2.9353689768234656,8.543593974573641,7.564680489162316
2016-02-15,27.943566099788203,29.9999999999848,6.309652595977423,3.300005532664019,1.2451898096285787,4.873716542992164
2016-02-16,22.21801528292784,12.821923846380697,5.717286404781693,4.2539320568868995,-0.5475822216397315,5.424781282997856
2016-02-17,11.931732274333598,24.59472117990513,5.691410283639366,3.9673138387942366,3.5652453209569095,5.166891311859057
2016-02-18,15.928204872416039,29.999999999989317,7.084069239807509,2.506048985488186,-2.658724678711677,9.55718747627938
2016-02-19,29.99999993659656,29.34985860511643,5.86370353947218,3.6127678669422236,-0.13750909402267247,6.298603100086605
2016-02-20,20.130076665876082,29.999999999988493,6.818805981932481,2.667308038698964,-1.415432617202893,7.821229364941211
2016-02-22,29.999999999995712,29.999999999982787,5.700029778617502,3.474099154260724,1.29912364432752,6.009989213983113
