TRADEDATE,tau,beta0,beta1,beta2
2014-01-09,4.476137114459483,0.08848878085146197,-0.03077437215684547,-2.9249973073322277e-07
2014-01-10,2.488382302893389,0.08722726735926445,-0.032750273779992664,-0.008638350617634499
2014-01-13,1.6596841593932514,0.08560852109095364,-0.02993060526592932,-0.02079609830117065
2014-01-14,9.136050506903675,0.06207638579628255,-0.00778867093975311,0.07450796626782133
2014-01-15,1.2646306823126907,0.08245805373680466,-0.0492945958904324,0.0051818322223391566
2014-01-16,1.553696068878256,0.08636945103479693,-0.029671896320359346,-0.0259747834655243
2014-01-17,1.9620902400633073,0.0871288412781631,-0.0324258093491409,-0.015577669838038405
2014-01-20,1.8134742921885711,0.0869040552695437,-0.03166895605111954,-0.017765620530365654
2014-01-21,1.4550633543059464,0.0858089653349211,-0.02988904359199156,-0.023071753576757413
2014-01-22,4.905201602602169,0.09586771231493271,-0.040873287300043144,9.714143108571622e-08
2014-01-23,3.412381777453469,0.09048383931555361,-0.035950481691213995,2.4798703112080253e-07
2014-01-24,0.8817866902116213,0.08379095413309577,-0.02116451506804335,-0.04145043540156433
2014-01-27,4.259875297970648,0.09496943045574169,-0.03775512216120084,1.2365837209597453e-07
2014-01-28,0.9013095804438453,0.08599922693431845,-0.02229745418060331,-0.046354633088789815
2014-01-29,4.048134064902379,0.09247355795841887,-0.03322063089225896,2.937170361539123e-07
2014-01-30,1.217879629753123,0.08911873074082852,-0.026937573001272516,-0.031631783144962636
2014-01-31,4.037161682718216,0.09312503046531584,-0.03205781458739136,4.3536239692599533e-07
2014-02-03,3.6322528443272266,0.09159145609886263,-0.029694949562092777,-3.9311058720769414e-07
2014-02-04,4.5977292429964045,0.0932696361001672,-0.03115526254560675,2.564149523944444e-07
2014-02-05,13.829150479007561,0.11275959936519817,-0.049195554482318236,-5.5035374534520866e-08
2014-02-06,3.0195080114332864,0.08764173519689933,-0.028895149167672336,1.3130808981617276e-07
2014-02-07,2.7944684166648317,0.08677434760757306,-0.028724134445467182,1.3302065053086544e-07
2014-02-10,2.2964110473675046,0.0857121489970755,-0.02979867855630324,9.165210374532235e-07
2014-02-11,2.094829641424293,0.08604439848208842,-0.031699497935929216,-1.4924733584872533e-07
2014-02-12,1.8663050827366001,0.08508295085708316,-0.03198907152971466,-3.128883111353825e-07
2014-02-13,1.9699151272682145,0.08605478010780312,-0.03210871327049968,7.615407763511078e-09
2014-02-14,0.7654921218657831,0.08454837524587791,-0.019005686968381747,-0.043863313615033005
2014-02-17,1.191467787724974,0.08566888313456779,-0.02813226539443757,-0.020405080360520793
2014-02-18,0.728690408731015,0.08484684252874228,-0.017753129775212574,-0.04864584868373427
2014-02-19,0.4439753459251511,0.08377200952362701,-0.08377196344034774,0.005326800651467843
2014-02-20,1.8016567881682457,0.08822640353822166,-0.033643025123555145,-0.0018214239775674506
2014-02-21,1.451824575417306,0.08719445890930692,-0.03276311112809393,-0.005815808652199635
2014-02-24,1.3986662494409128,0.0863320682303288,-0.034381731742916796,-0.002585213877805197
2014-02-25,1.1997154829124739,0.08496230738883699,-0.034645662642825065,-0.002568853414649381
2014-02-26,6.135139106891214,0.09626441652315429,-0.03049077372518378,8.260944294620093e-08
2014-02-27,0.5950329233250615,0.08630097550794774,-0.021696705344121277,-0.05033986609756386
2014-02-28,1.6915913767025543,0.08720557034136556,-0.03233947143207474,6.497071401642322e-07
2014-03-03,2.869004479808846,0.09127813473059035,-0.024991924903924316,-3.551695028315205e-07
2014-03-04,1.2163987650954131,0.08965899961448576,-0.028644572482726786,-0.01042209502284208
2014-03-05,0.6119106898218691,0.08615228682932101,-0.01066657749962558,-0.03833158270228164
2014-03-06,1.7808400543015825,0.08853937825838833,-0.02358603919069986,1.378718724759646e-07
2014-03-07,0.21143211696722392,0.08635283719225931,0.13450110713794344,-0.23954637885174584
2014-03-11,0.1889005350178024,0.08527072866170782,-0.05528967699586278,-0.004402988705510893
2014-03-12,0.8900375110846697,0.08924728527334362,-0.04572726742220121,0.03601581587436475
2014-03-13,1.0812097116328714,0.08697266421672896,-0.0410286590697829,0.0476721561733847
2014-03-14,29.999951533105044,0.32753299458607205,-0.24311369838565855,-0.22508505312666033
2014-03-17,29.99994783298363,0.2063149771779078,-0.12590569337136165,-0.07625372876505318
2014-03-18,0.4722677100981238,0.0928321549504588,-0.0559857819060459,-0.0005402276975346894
2014-03-19,0.6898338575200875,0.09486697952936862,-0.06062942941489796,0.001575864892591334
2014-03-20,14.605254422819915,0.11641328040172896,-0.03880655818287892,-2.952958457022233e-08
2014-03-21,1.8662490534619556,0.09780596757861536,-0.030978696706144997,2.058221689810503e-07
2014-03-24,29.999999445265008,0.4686115144479816,-0.3851854394107298,-0.3910883522733595
2014-03-25,1.5351854128900837,0.09298949906948506,-0.026112364586234095,-4.4721138757044974e-07
2014-03-26,4.037566810326414,0.08306758776670875,-0.014944973110409435,0.034951636937228636
2014-03-27,4.694423433836198,0.09801413060136634,-0.023656448195536146,-8.88377277068678e-09
2014-03-28,15.858770883796726,0.11933735128636906,-0.04240447181099189,1.8600254198098438e-07
2014-03-31,1.8507795227623864,0.09093472144948272,-0.025224512739627017,1.0168176534833856e-07
2014-04-01,29.999960604652806,0.2511414232644351,-0.1744005396456776,-0.13304349044789565
2014-04-02,21.212747770722615,0.12783046879569987,-0.05185336649386593,9.440564365498831e-09
2014-04-03,2.3595273861619273,0.09483869502970783,-0.02886461308828677,-1.6601197911815284e-06
2014-04-04,2.185823485147459,0.09268266128099115,-0.027564350294028157,-2.72277728526195e-07
