,maturity,rates
0,0.3506849315068493,0.053680624693370656
1,0.4849315068493151,0.006455906788581768
2,0.5424657534246575,0.0070758251140966705
3,0.6958904109589041,0.00875885820704643
4,1.2712328767123289,0.014616717739377701
5,1.7315068493150685,0.019291465007366483
6,2.6136986301369864,0.025529641164257634
7,2.958904109589041,0.02837167379782942
8,3.2273972602739724,0.024158986955360676
9,3.2849315068493152,0.030492591168533884
10,3.8794520547945206,0.03339677864702389
11,4.263013698630137,0.03540306879833783
12,4.397260273972603,0.03631849461050186
13,4.876712328767123,0.037040995883418255
14,4.953424657534247,0.03879523189860385
15,5.490410958904111,0.040234619855460486
16,6.123287671232878,0.04146885068207134
17,8.04109589041096,0.04723922119952246
18,8.424657534246576,0.04768430217370495
19,9.383561643835618,0.05066663036751401
20,10.726027397260275,0.05288864991285336
21,13.046575342465756,0.05462766583943637
22,14.561643835616438,0.05656263616591919
23,15.693150684931505,0.05810587322916739
24,17.438356164383563,0.05858181379080966
