TRADEDATE,tau,beta_0,beta_1,beta_2
2014-01-09,1.0,0.08013728529757594,-0.0237141591505828,0.0
2014-01-10,1.0,0.07924317176141685,-0.018035053882728323,0.0
2014-01-13,1.0,0.0790670000252804,-0.017795006250092754,0.0
2014-01-14,1.0,0.07937768468846283,-0.019432158391903584,0.0
2014-01-15,1.0,0.0799352057769115,-0.02000560121707194,0.0
2014-01-16,1.0,0.08086746141667311,-0.02026650674797105,0.0
2014-01-17,1.0,0.07971345889218254,-0.019683642681600923,0.0
2014-01-20,1.0,0.08133726955121515,-0.02090215541685231,0.0
2014-01-21,1.0,0.08125029003874958,-0.021253323887147,0.0
2014-01-22,1.0,0.08231353216004132,-0.02134529990941772,0.0
2014-01-23,1.0,0.08218496841972807,-0.02160477660027539,0.0
2014-01-24,1.0,0.08181176195287224,-0.02069098456596099,0.0
2014-01-27,1.0,0.08405295383663577,-0.022976502083815,0.0
2014-01-28,1.0,0.08271462575751601,-0.021407751373789148,0.0
2014-01-29,1.0,0.08400647954660975,-0.021687192092843317,0.0
2014-01-30,1.0,0.08511351048075291,-0.01972311410436879,0.0
2014-01-31,1.0,0.08512355730396537,-0.021668674229979076,0.0
2014-02-03,1.0,0.084762546123578,-0.02012574290911924,0.0
2014-02-04,1.0,0.08389887555340071,-0.02354204526147751,0.0
2014-02-05,1.0,0.08293888624443865,-0.020360284796478403,0.0
2014-02-06,1.0,0.08230663380967054,-0.020358138215583257,0.0
2014-02-07,1.0,0.08212862883760232,-0.02070578650400299,0.0
2014-02-10,1.0,0.08197161334478528,-0.02022879185412367,0.0
2014-02-11,1.0,0.0814030606490649,-0.018999556189975113,0.0
2014-02-12,1.0,0.08105585682670322,-0.019072312405062887,0.0
2014-02-13,1.0,0.08176314657085006,-0.01984543228316353,0.0
2014-02-14,1.0,0.08265603128824099,-0.021106764374605416,0.0
2014-02-17,1.0,0.08197040715593351,-0.020330876414353036,0.0
2014-02-18,1.0,0.08298739270406898,-0.019414284307385496,0.0
