,Номер бумаги,ISIN,Номер платежа,Дата фактической выплаты,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
83,9,RU000A0DY8K8,3,2005-11-16,9.5,2.368,0.0
84,9,RU000A0DY8K8,4,2006-02-15,9.0,2.244,0.0
85,9,RU000A0DY8K8,5,2006-05-17,9.0,2.244,0.0
86,9,RU000A0DY8K8,6,2006-08-16,9.0,2.244,0.0
87,9,RU000A0DY8K8,7,2006-11-15,9.0,2.244,0.0
88,9,RU000A0DY8K8,8,2007-02-14,8.5,2.119,0.0
89,9,RU000A0DY8K8,9,2007-05-16,8.5,2.119,0.0
90,9,RU000A0DY8K8,10,2007-08-15,8.5,2.119,0.0
91,9,RU000A0DY8K8,11,2007-11-14,8.5,2.119,0.0
92,9,RU000A0DY8K8,12,2008-02-13,8.0,1.9949999999999999,0.0
93,9,RU000A0DY8K8,13,2008-05-14,8.0,1.9949999999999999,0.0
94,9,RU000A0DY8K8,14,2008-08-13,8.0,1.9949999999999999,0.0
95,9,RU000A0DY8K8,15,2008-11-12,8.0,1.9949999999999999,0.0
96,9,RU000A0DY8K8,16,2009-02-11,8.0,1.9949999999999999,0.0
97,9,RU000A0DY8K8,17,2009-05-13,8.0,1.9949999999999999,0.0
98,9,RU000A0DY8K8,18,2009-08-12,8.0,1.9949999999999999,0.0
99,9,RU000A0DY8K8,19,2009-11-11,8.0,1.9949999999999999,0.0
100,9,RU000A0DY8K8,20,2010-02-10,7.5,1.8699999999999999,0.0
101,9,RU000A0DY8K8,21,2010-05-12,7.5,1.8699999999999999,0.0
102,9,RU000A0DY8K8,22,2010-08-11,7.5,1.8699999999999999,0.0
103,9,RU000A0DY8K8,23,2010-11-10,7.5,1.8699999999999999,0.0
104,9,RU000A0DY8K8,24,2011-02-09,7.0,1.7449999999999999,0.0
105,9,RU000A0DY8K8,25,2011-05-11,7.0,1.7449999999999999,0.0
106,9,RU000A0DY8K8,26,2011-08-10,7.0,1.7449999999999999,0.0
107,9,RU000A0DY8K8,27,2011-11-09,7.0,1.7449999999999999,0.0
108,9,RU000A0DY8K8,28,2012-02-08,7.0,1.7449999999999999,0.0
109,9,RU000A0DY8K8,29,2012-05-09,7.0,1.7449999999999999,0.0
110,9,RU000A0DY8K8,30,2012-08-08,7.0,1.7449999999999999,0.0
111,9,RU000A0DY8K8,31,2012-11-07,6.5,1.621,0.0
112,9,RU000A0DY8K8,32,2013-02-06,6.5,1.621,0.0
113,9,RU000A0DY8K8,33,2013-05-08,6.5,1.621,0.0
114,9,RU000A0DY8K8,34,2013-08-07,6.5,1.621,0.0
115,9,RU000A0DY8K8,35,2013-11-06,6.5,1.621,0.0
116,9,RU000A0DY8K8,36,2014-02-05,6.5,1.621,0.0
117,9,RU000A0DY8K8,37,2014-05-07,6.5,1.621,0.0
118,9,RU000A0DY8K8,38,2014-08-06,6.5,1.621,0.0
119,9,RU000A0DY8K8,39,2014-11-05,6.5,1.621,0.0
120,9,RU000A0DY8K8,40,2015-02-04,6.0,1.496,0.0
121,9,RU000A0DY8K8,41,2015-05-06,6.0,1.496,0.0
122,9,RU000A0DY8K8,42,2015-08-05,6.0,1.496,50.0
123,9,RU000A0DY8K8,43,2015-11-04,6.0,0.748,0.0
124,9,RU000A0DY8K8,44,2016-02-03,6.0,0.748,0.0
125,9,RU000A0DY8K8,45,2016-05-04,6.0,0.748,0.0
126,9,RU000A0DY8K8,46,2016-08-03,6.0,0.748,50.0
127,10,RU000A0JQZ18,1,2011-02-09,6.9,3.5729999999999995,0.0
128,10,RU000A0JQZ18,2,2011-08-10,6.9,3.441,0.0
129,10,RU000A0JQZ18,3,2012-02-08,6.9,3.441,0.0
130,10,RU000A0JQZ18,4,2012-08-08,6.9,3.441,0.0
131,10,RU000A0JQZ18,5,2013-02-06,6.9,3.441,0.0
132,10,RU000A0JQZ18,6,2013-08-07,6.9,3.441,0.0
133,10,RU000A0JQZ18,7,2014-02-05,6.9,3.441,0.0
134,10,RU000A0JQZ18,8,2014-08-06,6.9,3.441,0.0
135,10,RU000A0JQZ18,9,2015-02-04,6.9,3.441,0.0
136,10,RU000A0JQZ18,10,2015-08-05,6.9,3.441,0.0
137,10,RU000A0JQZ18,11,2016-02-03,6.9,3.441,0.0
138,10,RU000A0JQZ18,12,2016-08-03,6.9,3.441,100.0
139,11,RU000A0JS751,1,2012-10-24,7.4,3.69,0.0
140,11,RU000A0JS751,2,2013-04-24,7.4,3.69,0.0
141,11,RU000A0JS751,3,2013-10-23,7.4,3.69,0.0
142,11,RU000A0JS751,4,2014-04-23,7.4,3.69,0.0
143,11,RU000A0JS751,5,2014-10-22,7.4,3.69,0.0
144,11,RU000A0JS751,6,2015-04-22,7.4,3.69,0.0
145,11,RU000A0JS751,7,2015-10-21,7.4,3.69,0.0
146,11,RU000A0JS751,8,2016-04-20,7.4,3.69,0.0
147,11,RU000A0JS751,9,2016-10-19,7.4,3.69,0.0
148,11,RU000A0JS751,10,2017-04-19,7.4,3.69,100.0
149,12,RU000A0JRJU8,1,2011-12-21,7.4,3.974,0.0
150,12,RU000A0JRJU8,2,2012-06-20,7.4,3.69,0.0
151,12,RU000A0JRJU8,3,2012-12-19,7.4,3.69,0.0
152,12,RU000A0JRJU8,4,2013-06-19,7.4,3.69,0.0
153,12,RU000A0JRJU8,5,2013-12-18,7.4,3.69,0.0
154,12,RU000A0JRJU8,6,2014-06-18,7.4,3.69,0.0
155,12,RU000A0JRJU8,7,2014-12-17,7.4,3.69,0.0
156,12,RU000A0JRJU8,8,2015-06-17,7.4,3.69,0.0
157,12,RU000A0JRJU8,9,2015-12-16,7.4,3.69,0.0
158,12,RU000A0JRJU8,10,2016-06-15,7.4,3.69,0.0
159,12,RU000A0JRJU8,11,2016-12-14,7.4,3.69,0.0
160,12,RU000A0JRJU8,12,2017-06-14,7.4,3.69,100.0
161,13,RU000A0JTKZ1,1,2013-08-07,6.2,3.092,0.0
162,13,RU000A0JTKZ1,2,2014-02-05,6.2,3.092,0.0
163,13,RU000A0JTKZ1,3,2014-08-06,6.2,3.092,0.0
164,13,RU000A0JTKZ1,4,2015-02-04,6.2,3.092,0.0
165,13,RU000A0JTKZ1,5,2015-08-05,6.2,3.092,0.0
166,13,RU000A0JTKZ1,6,2016-02-03,6.2,3.092,0.0
167,13,RU000A0JTKZ1,7,2016-08-03,6.2,3.092,0.0
168,13,RU000A0JTKZ1,8,2017-02-01,6.2,3.092,0.0
169,13,RU000A0JTKZ1,9,2017-08-02,6.2,3.092,0.0
170,13,RU000A0JTKZ1,10,2018-01-31,6.2,3.092,100.0
171,14,RU000A0JRCJ6,1,2011-09-22,7.5,3.7600000000000002,0.0
172,14,RU000A0JRCJ6,2,2012-03-22,7.5,3.7399999999999998,0.0
173,14,RU000A0JRCJ6,3,2012-09-20,7.5,3.7399999999999998,0.0
174,14,RU000A0JRCJ6,4,2013-03-21,7.5,3.7399999999999998,0.0
175,14,RU000A0JRCJ6,5,2013-09-19,7.5,3.7399999999999998,0.0
176,14,RU000A0JRCJ6,6,2014-03-20,7.5,3.7399999999999998,0.0
177,14,RU000A0JRCJ6,7,2014-09-18,7.5,3.7399999999999998,0.0
178,14,RU000A0JRCJ6,8,2015-03-19,7.5,3.7399999999999998,0.0
179,14,RU000A0JRCJ6,9,2015-09-17,7.5,3.7399999999999998,0.0
180,14,RU000A0JRCJ6,10,2016-03-17,7.5,3.7399999999999998,0.0
181,14,RU000A0JRCJ6,11,2016-09-15,7.5,3.7399999999999998,0.0
182,14,RU000A0JRCJ6,12,2017-03-16,7.5,3.7399999999999998,0.0
183,14,RU000A0JRCJ6,13,2017-09-14,7.5,3.7399999999999998,0.0
184,14,RU000A0JRCJ6,14,2018-03-15,7.5,3.7399999999999998,100.0
185,15,RU000A0JP2S9,1,2007-08-22,8.0,3.989,0.0
186,15,RU000A0JP2S9,2,2008-02-20,7.5,3.7399999999999998,0.0
187,15,RU000A0JP2S9,3,2008-08-20,7.5,3.7399999999999998,0.0
188,15,RU000A0JP2S9,4,2009-02-18,7.5,3.7399999999999998,0.0
189,15,RU000A0JP2S9,5,2009-08-19,7.5,3.7399999999999998,0.0
190,15,RU000A0JP2S9,6,2010-02-17,7.0,3.4899999999999998,0.0
191,15,RU000A0JP2S9,7,2010-08-18,7.0,3.4899999999999998,0.0
192,15,RU000A0JP2S9,8,2011-02-16,7.0,3.4899999999999998,0.0
193,15,RU000A0JP2S9,9,2011-08-17,7.0,3.4899999999999998,0.0
194,15,RU000A0JP2S9,10,2012-02-15,6.0,2.992,0.0
195,15,RU000A0JP2S9,11,2012-08-15,6.0,2.992,0.0
196,15,RU000A0JP2S9,12,2013-02-13,6.0,2.992,0.0
197,15,RU000A0JP2S9,13,2013-08-14,6.0,2.992,0.0
198,15,RU000A0JP2S9,14,2014-02-12,5.5,2.742,0.0
199,15,RU000A0JP2S9,15,2014-08-13,5.5,2.742,0.0
200,15,RU000A0JP2S9,16,2015-02-11,5.5,2.742,0.0
201,15,RU000A0JP2S9,17,2015-08-12,5.5,2.742,0.0
202,15,RU000A0JP2S9,18,2016-02-10,5.0,2.493,0.0
203,15,RU000A0JP2S9,19,2016-08-10,5.0,2.493,0.0
204,15,RU000A0JP2S9,20,2017-02-08,5.0,2.493,0.0
205,15,RU000A0JP2S9,21,2017-08-09,5.0,2.493,50.0
206,15,RU000A0JP2S9,22,2018-02-07,5.0,1.247,0.0
207,15,RU000A0JP2S9,23,2018-08-08,5.0,1.247,50.0
208,16,RU0002868076,1,2003-09-17,10.5,5.638,0.0
209,16,RU0002868076,2,2004-03-17,10.5,5.236,0.0
210,16,RU0002868076,3,2004-09-15,10.5,5.236,0.0
211,16,RU0002868076,4,2005-03-16,10.0,4.986,0.0
212,16,RU0002868076,5,2005-09-14,10.0,4.986,0.0
213,16,RU0002868076,6,2006-03-15,10.0,4.986,0.0
214,16,RU0002868076,7,2006-09-13,10.0,4.986,0.0
215,16,RU0002868076,8,2007-03-14,9.0,4.488,0.0
216,16,RU0002868076,9,2007-09-12,9.0,4.488,0.0
217,16,RU0002868076,10,2008-03-12,9.0,4.488,0.0
218,16,RU0002868076,11,2008-09-10,9.0,4.488,0.0
219,16,RU0002868076,12,2009-03-11,9.0,4.488,0.0
220,16,RU0002868076,13,2009-09-09,9.0,4.488,0.0
221,16,RU0002868076,14,2010-03-10,8.0,3.989,25.0
222,16,RU0002868076,15,2010-09-08,8.0,2.992,25.0
223,16,RU0002868076,16,2011-03-09,7.0,1.7449999999999999,0.0
224,16,RU0002868076,17,2011-09-07,7.0,1.7449999999999999,0.0
225,16,RU0002868076,18,2012-03-07,7.0,1.7449999999999999,0.0
226,16,RU0002868076,19,2012-09-05,7.0,1.7449999999999999,0.0
227,16,RU0002868076,20,2013-03-06,7.0,1.7449999999999999,0.0
228,16,RU0002868076,21,2013-09-04,7.0,1.7449999999999999,0.0
229,16,RU0002868076,22,2014-03-05,7.0,1.7449999999999999,0.0
230,16,RU0002868076,23,2014-09-03,7.0,1.7449999999999999,0.0
231,16,RU0002868076,24,2015-03-04,7.0,1.7449999999999999,0.0
232,16,RU0002868076,25,2015-09-02,7.0,1.7449999999999999,0.0
233,16,RU0002868076,26,2016-03-02,7.0,1.7449999999999999,0.0
234,16,RU0002868076,27,2016-08-31,7.0,1.7449999999999999,0.0
235,16,RU0002868076,28,2017-03-01,7.0,1.7449999999999999,0.0
236,16,RU0002868076,29,2017-08-30,7.0,1.7449999999999999,0.0
237,16,RU0002868076,30,2018-02-28,7.0,1.7449999999999999,25.0
238,16,RU0002868076,31,2018-08-29,7.0,0.873,25.0
239,17,RU0002867631,1,2018-01-10,0.0,0.0,70.0
240,17,RU0002867631,2,2019-01-09,0.0,0.0,30.0
241,18,RU000A0JS4M5,1,2012-09-05,7.5,3.7399999999999998,0.0
242,18,RU000A0JS4M5,2,2013-03-06,7.5,3.7399999999999998,0.0
243,18,RU000A0JS4M5,3,2013-09-04,7.5,3.7399999999999998,0.0
244,18,RU000A0JS4M5,4,2014-03-05,7.5,3.7399999999999998,0.0
245,18,RU000A0JS4M5,5,2014-09-03,7.5,3.7399999999999998,0.0
246,18,RU000A0JS4M5,6,2015-03-04,7.5,3.7399999999999998,0.0
247,18,RU000A0JS4M5,7,2015-09-02,7.5,3.7399999999999998,0.0
248,18,RU000A0JS4M5,8,2016-03-02,7.5,3.7399999999999998,0.0
