TRADEDATE,3-month,2-year,10-year,longest
2014-01-09,0.06058605349053923,0.0647531191355686,0.07860627218950655,0.08188388288827893
2014-01-10,0.06058719764738004,0.06465786875890317,0.07869596214279798,0.08086156002644061
2014-01-13,0.059504953959114926,0.06399677476339999,0.07877800062972637,0.08066407978443439
2014-01-14,0.05950141206420952,0.06421854497734845,0.07874639473674078,0.08107194598232366
2014-01-15,0.05965000468150454,0.06413258385825885,0.0790354625439431,0.07922069758326644
2014-01-16,0.05996561774084329,0.06373899277250272,0.07934230918326217,0.08208784968484921
2014-01-17,0.059621240727963765,0.06413161951514282,0.07904856698077428,0.0814499721766158
2014-01-20,0.06005352306489443,0.06375160040772912,0.07974610566428092,0.08245347804770732
2014-01-21,0.06094100144009969,0.06422577150104761,0.07972283682369387,0.0820943466241732
2014-01-22,0.061042367812339786,0.06447312324343063,0.07988815511563165,0.08642601367825813
2014-01-23,0.06097108238736696,0.06408863937557899,0.08020460488773304,0.08486360829551655
2014-01-24,0.05803538083023665,0.06495060524636924,0.08121528863416398,0.08048422911342097
2014-01-27,0.0610000533226231,0.0653045833604574,0.08209726563912281,0.08757060463564845
2014-01-28,0.06149468305081756,0.06521781388708603,0.08146879144234459,0.08336540299120594
2014-01-29,0.06275828019309332,0.0660353029947835,0.08200006836066102,0.08653589194164678
2014-01-30,0.06382283921558789,0.06758879892120281,0.08380436594089374,0.08622921124895755
2014-01-31,0.062095329981889186,0.06910092491346723,0.0837061259314635,0.08806502081230133
2014-02-03,0.062029402434554674,0.06924743404050354,0.08294073319804365,0.08801854172547219
2014-02-04,0.06317707680079593,0.06631718728865056,0.08163474670190117,0.08795793565582412
2014-02-05,0.06195993177160498,0.06711219077446955,0.08002989970901814,0.08777020092389133
2014-02-06,0.06150323841836751,0.06669547931602454,0.08024979533556395,0.08484437208550856
2014-02-07,0.060290573720737525,0.06877924335625654,0.08014926834939805,0.08402909115853502
2014-02-10,0.06046772896760669,0.06653719168003648,0.0799986068547265,0.08372812263943505
2014-02-11,0.06095278836718655,0.06706181534813511,0.08036274968847408,0.0833459164070403
2014-02-12,0.061575469408520864,0.06661109189455193,0.08012790389126792,0.08282407209974332
2014-02-13,0.06118236334451822,0.06728906848566728,0.08077880456689404,0.08350678152261452
2014-02-14,0.06156795091421665,0.06801721644308517,0.08151195931976131,0.08291101406488201
2014-02-17,0.06093161818210786,0.06736240433896984,0.08144377923112209,0.0835010514664209
2014-02-18,0.06119518902490732,0.06768823374783038,0.08193427363251751,0.08283655376488698
2014-02-19,0.06110770030548807,0.06809216851994677,0.08361099966289598,0.08548946950840372
2014-02-20,0.060923051652225925,0.06888115183036671,0.08387708525154255,0.08530333151719179
2014-02-21,0.061471102773335826,0.07001452222132316,0.08323444886842732,0.08532436458004303
2014-02-24,0.060150840970562676,0.06747202832856836,0.08257077207150787,0.08467213421859203
2014-02-25,0.06268918150696741,0.06817441209674953,0.08240050129178733,0.08438190721526588
2014-02-26,0.06309072815871472,0.06906733377980616,0.08338729756395058,0.08875940892185619
2014-02-27,0.0633088929230672,0.06728472786585384,0.08373163694926583,0.08608358876935558
2014-02-28,0.06295463554148213,0.06921010247776194,0.08324117667368264,0.08638658766498596
2014-03-03,0.07305275903801632,0.0758237984744709,0.08553277158332627,0.08896071005530484
2014-03-04,0.07145751148431986,0.07622391237555301,0.08621787650141156,0.08857971371793294
2014-03-05,0.07099540741411214,0.07508629717078695,0.0858972955211477,0.08609904758764032
2014-03-06,0.06884938013039814,0.07538404558460228,0.0865975275534535,0.08877492017894956
2014-03-07,0.07156415340343174,0.07656921962601985,0.08671149154177836,0.08607985664175673
2014-03-11,0.06672990756725514,0.07808474162246344,0.08888504126201242,0.08267700606285343
2014-03-12,0.06872652466278753,0.08202204765992797,0.09102834491331104,0.09321542008310277
2014-03-13,0.06901183117011123,0.08385713669938097,0.09239134303784637,0.08980615022638476
