TRADEDATE,RU000A0JR779,RU000A0JQAE3,RU000A0JQLL5,RU000A0JQCL4,RU000A0JRHZ1,RU000A0JQYN4,RU000A0JR7G1,RU000A0JQZ18,RU000A0JS751,RU000A0JRJU8,RU000A0JTKZ1,RU000A0JRCJ6,RU0002868076,RU000A0JU9V1,RU000A0JTG59,RU000A0JTYA5,RU000A0JREQ7,RU000A0JVW30,RU000A0D0G29,RU000A0ZYCK6,RU000A0JSMA2,RU000A0JXB41,RU000A0JTJL3,RU000A0JPLH5,RU000A0JU4L3,RU000A101FA1,RU000A0ZYU88,RU000A1007F4,RU000A0JXQF2,RU000A101QE0,RU000A100EG3,RU000A0JWM07,RU000A0ZZYW2,RU000A0JS3W6,RU000A1014N4,RU000A0JTK38,RU000A0ZYUA9,RU000A100A82,RU000A0JVW48,RU000A0JXFM1,RU000A0ZYUB7,RU000A101F94,RU000A0GN9A7,RU000A100EF5
2014-01-09,,0.056423126146993144,0.060085271943344426,0.0602298244090117,0.06232269214105862,0.061326118315261594,0.0647531191355686,0.06697501319361077,0.06994636851844246,0.0701890621002451,0.0703533605175891,,,,0.07290161801683577,0.07475665171282384,0.07551708473623266,,0.07709882970687824,,0.0767581633786514,,0.07685628645113095,0.07003149611582758,0.07860627218950655,,,,,,,,,0.07942197216846994,,0.0806370139440482,,,,,,,0.08188388288827907,
2014-01-10,,0.06120811787868853,,,0.06194486787576746,0.061497442108646994,0.06465786875890318,0.06683977826135741,,0.0688257913445159,0.0708104472185366,0.07030212533439864,,,0.0734055886953154,0.07510439316177742,0.07557712107830272,,,,0.07698524600975942,,0.07762885414513514,,0.07869596214279798,,,,,,,,,0.07978631073129369,,0.08086156002644061,,,,,,,,
2014-01-13,,0.061271993775187654,0.06075975282897184,,0.06163824255713378,0.061293563573777285,0.06399677476339999,0.06683605643547452,,0.06880886408030676,0.07036703993767376,,,0.07235912267505434,0.07318339077124485,0.07490199765328125,0.07555734053295654,,0.07787446465716727,,0.07678192800023495,,0.07722200361877919,,0.07877800062972636,,,,,,,,,0.07960391606818165,,0.08066407978443439,,,,,,,,
2014-01-14,,0.059945526296559255,0.060270201887762956,0.060218897938180256,0.06175851538485724,0.06132863110366983,0.06421854497734845,0.06676547117311617,0.06605548484472791,0.06897438483303958,0.0706191090719574,0.06952252804252279,,,,,0.07592564519143818,,0.0760555811827066,,0.07727837967863495,,0.07763767833581665,,0.07874639473674078,,,,,,,,,0.08005471969897028,,0.08107194598232366,,,,,,,,
2014-01-15,,0.05992960455983956,,,0.06155481241671411,0.06121454783637671,0.06413258385825885,0.06677026666454364,0.06875334373651006,0.06914741569648235,0.0702995365521859,0.07025925574693756,,,,0.07526690146276092,0.07278906158262088,,0.07608462456539043,,,,0.07810011301015783,0.07664358739266629,0.0790354625439431,,,,,,,,,0.08015158058854296,,0.08133308239189356,,,,,,,0.07922069758326637,
2014-01-16,,,0.06060095466870206,0.05969860793452913,0.06169890360611026,0.06127751880399472,0.06373899277250272,0.06651689373050983,0.0692054291481704,0.06960650230313628,0.07099348612927445,0.06984674538439671,,0.07284888679743914,0.07131951820665203,0.07533729398781784,0.07619648137319,,0.07712144003374906,,0.07748747236135685,,0.07835818035132021,,0.07934230918326216,,,,,,,,,0.08037410569557112,,0.08166558110300992,,,,,,,0.08208784968484921,
2014-01-17,,0.06002981621058161,0.06054785014551721,0.060339736021570965,0.062003796781729355,0.061626684998727116,0.06413161951514282,0.0663805475455113,0.06902048060325516,0.06917337563287294,0.07086133337124424,,,0.07283209556879736,0.07385058529946545,0.07566037748094405,0.07611937160010712,,0.07658504653980698,,0.07779305620931225,,0.07808803821639926,,0.07904856698077427,,,,,,,,,0.08026725819494081,,0.0814499721766158,,,,,,,,
2014-01-20,,0.06043511413436284,0.05987700536379582,0.06129976599413989,0.06188172337699147,0.06147118282573144,0.06375160040772912,,0.07114145728137193,0.06928316884858583,0.07101484346972382,0.07040220352013798,,0.07356033779755486,0.07405423586543702,,0.07629426281716789,,0.0764671417047836,,0.0778008855740171,,0.07765048847784974,,0.07974610566428093,,,,,,,,,0.08094364832507303,,0.0822058461677993,,,,,,,0.08245347804770732,
2014-01-21,,0.05999696615160258,0.060642468916497626,,0.06192595473017546,0.061827037224695985,0.06422577150104761,0.06725748724898409,0.06941394739500277,0.06973572860317746,,,,0.07391647777437782,0.07473237835916627,0.07577660643845675,0.07635794546806733,,0.07658695552870903,,0.07804025491390248,,0.07843932047861421,,0.07972283682369388,,,,,,,,,0.0809843457951707,,0.0821996309119606,,,,,,,0.08209434662417313,
2014-01-22,,0.060968232250623595,0.06094992958144204,0.060410558773749526,0.061912507931364165,0.062164605518605726,0.06447312324343062,0.06681212250190055,0.06959626130719883,0.06984074132587158,0.07129435414004018,0.0708277137132957,,0.07429012629181794,0.07452555142441471,0.07599804972274231,0.07647035365911528,,0.07843766886368733,,0.0781099521853128,,0.07851453414251937,0.07687238671091036,0.07988815511563165,,,,,,,,,0.08092003255505982,,0.0820199272912157,,,,,,,0.08642601367825813,
2014-01-23,,0.06058019181945267,0.06065642026856845,0.06147082443155778,0.06198402496131478,0.06143777219020543,0.06408863937557899,0.06698867939971978,0.06969345659292947,0.07007212197115381,0.07131898178401179,0.07097883291825534,,0.07427017309775123,0.07504993552061659,0.0762190983395248,0.07673610544743324,,0.07797745829928589,,0.0784093910301867,,0.07850609994895327,,0.08020460488773304,,,,,,,,,0.08126114241492638,,0.08241051808073632,,,,,,,0.08486360829551653,
2014-01-24,,0.06112077738691125,,0.06154073078002623,0.062453261484981676,0.062383346841496504,0.06495060524636924,0.06748001054069652,0.07079839634825322,0.07104633241737586,0.07209908607557947,0.07241109068363667,,0.07505852739676366,0.07566561643995005,0.07715766967073752,0.07796318571104022,,0.07687362815034333,,0.0794626621630603,,0.08017965247512053,0.07464361163346331,0.08121528863416397,,,,,,,,,0.08223830401387029,,0.08330922605003369,,,,,,,0.08048422911342097,
2014-01-27,,0.06107645175282077,0.06296450727253763,0.061093038423186176,0.0628126611910993,0.061939417560347564,0.0653045833604574,0.06815906499199152,0.07131255541309776,0.0711482922457996,0.0734783451252372,0.07286444943661366,,0.07539926376013585,0.07676615033635918,0.07773488764802149,0.07865723880650946,,0.07788254990221005,,0.08005591090360169,,0.08091947920252758,0.07976258995586577,0.08209726563912281,,,,,,,,,0.08253215305141416,,0.0840117920203577,,,,,,,0.08757060463564845,
2014-01-28,,0.06130687438372686,,,0.06244585018806964,,0.06521781388708602,0.06815788242189205,0.07108439856278921,0.07114243821022168,0.07206412739995267,0.07342805143337568,,0.07614970716894025,0.07681108068196965,0.07836751000478215,0.07877946704902661,,0.07884283422599529,,0.08034194720359242,,0.08085726049780759,,0.08146879144234459,,,,,,,,,0.08233010761509373,,0.08369420098141979,,,,,,,0.08336540299120594,
2014-01-29,,0.06231928745376644,0.06349343689301437,0.06260556092784686,0.0633151524203731,0.06281112216685576,0.0660353029947835,0.06799068484605796,0.07173503463216721,0.07240625868280368,0.07413167353611372,0.07347412625366842,,0.08405541070961896,0.07586711618444814,0.07845825322837455,0.07934493363415329,,0.0789259365187169,,0.08099154106310326,,0.08074758295270845,,0.08200006836066102,,,,,,,,,0.08279241677318495,,0.08469754111094624,,,,,,,0.08653589194164678,
2014-01-30,,0.06539039637638412,0.06465176864631621,0.06635958124124994,0.06593174783626336,0.0646346252741452,0.06758879892120281,0.07078165029624833,0.07356246328406912,0.0744935301121721,0.07622241052081821,0.07521002185703454,,0.07700728099933095,0.07831711995381628,0.0798829224155676,0.08223752826268015,,0.07942011021385996,,0.08254511055869078,,0.08366346304777508,,0.08380436594089374,,,,,,,,,0.08464164510057272,,0.08577881963258764,,,,,,,0.08622921124895755,
2014-01-31,,0.06345488307398629,0.06400143733810748,0.06607860786894672,0.06615150829542606,0.06541903017030591,0.06910092491346723,0.0711094118000814,0.06894896818278248,0.07455408660495454,0.07663081818409703,0.0764564901595525,,0.07844897707721216,0.07981528081348625,0.08086346444549997,0.08176378873004943,,0.07870359776436996,,0.08227740212355406,,0.08324358648231285,0.07550447641962985,0.0837061259314635,,,,,,,,,0.08401346384097402,,0.08470961863112263,,,,,,,0.08806502081230132,
