Дата фактической выплаты,Бумага,ISIN,Торговый код,Номер платежа,"Ставка купона, % годовых","Сумма купона, RUB","Погашение номинала, RUB"
2018-02-28 00:00:00,26208,RU000A0JS4M5,SU26208RMFS7,12,7.5,37.4,0.0
2018-08-29 00:00:00,26208,RU000A0JS4M5,SU26208RMFS7,13,7.5,37.4,0.0
2019-02-27 00:00:00,26208,RU000A0JS4M5,SU26208RMFS7,14,7.5,37.4,1000.0
2013-01-30 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,1,7.6,37.9,0.0
2013-07-31 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,2,7.6,37.9,0.0
2014-01-29 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,3,7.6,37.9,0.0
2014-07-30 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,4,7.6,37.9,0.0
2015-01-28 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,5,7.6,37.9,0.0
2015-07-29 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,6,7.6,37.9,0.0
2016-01-27 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,7,7.6,37.9,0.0
2016-07-27 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,8,7.6,37.9,0.0
2017-01-25 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,9,7.6,37.9,0.0
2017-07-26 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,10,7.6,37.9,0.0
2018-01-24 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,11,7.6,37.9,0.0
2018-07-25 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,12,7.6,37.9,0.0
2019-01-23 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,13,7.6,37.9,0.0
2019-07-24 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,14,7.6,37.9,0.0
2020-01-22 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,15,7.6,37.9,0.0
2020-07-22 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,16,7.6,37.9,0.0
2021-01-20 00:00:00,26209,RU000A0JSMA2,SU26209RMFS5,17,7.6,37.9,0.0
