,maturity,rates
0,2.8821917808219184,0.09458032830533172
1,2.9397260273972603,0.060759661571114607
2,3.0931506849315067,0.0817403172551713
3,3.589041095890411,0.08383298077533567
4,4.1287671232876715,0.07313299582499493
5,5.0109589041095886,0.08297541341050187
6,5.3561643835616435,0.08438754760241317
7,5.624657534246575,0.08308735849009986
8,6.2767123287671245,0.08478674072224651
9,6.794520547945205,0.0770521649993797
10,7.273972602739726,0.09737537641746981
11,7.35068493150685,0.08427097510774328
12,10.287671232876713,0.03020815117450315
13,10.895890410958906,0.10310155418956349
14,11.780821917808215,0.09075556226639481
15,15.443835616438355,0.11251306486707914
16,20.156164383561645,0.1016141226307655
