,L-BFGS-B,Powell,Nelder-Mead,Trust Constrained
max,0.016472948342224902,0.016234350347196502,0.011469000317624753,0.0035726223243403576
min,0.0,0.0,0.0,0.0
mean,0.0015782680890005713,0.001823161400097843,0.001438833950232671,0.0003081563776808082
std,0.0009407055773853754,0.001541092111843938,0.001037146586707527,0.0004192110121319725
