TRADEDATE,bfgs_rand_1,bfgs_rand_2,bfgs_rand_3,bfgs_rand_4,bfgs_rand_5,bfgs_rand_6,bfgs_rand_7,bfgs_rand_8,bfgs_rand_9,bfgs_rand_10,bfgs_rand_11,bfgs_rand_12,bfgs_rand_13,bfgs_rand_14,bfgs_rand_15,bfgs_rand_16,gauss_newton_rand1,gauss_newton_rand2,gauss_newton_rand3,gauss_newton_rand4,gauss_newton_rand5,gauss_newton_rand6,gauss_newton_rand7,gauss_newton_rand8,gauss_newton_rand9,gauss_newton_rand10,gauss_newton_rand11,gauss_newton_rand12,gauss_newton_rand13,gauss_newton_rand14,gauss_newton_rand15,gauss_newton_rand16,nelder_mead_rand_1,nelder_mead_rand_2,nelder_mead_rand_3,nelder_mead_rand_4,nelder_mead_rand_5,nelder_mead_rand_6,nelder_mead_rand_7,nelder_mead_rand_8,nelder_mead_rand_9,nelder_mead_rand_10,nelder_mead_rand_11,nelder_mead_rand_12,nelder_mead_rand_13,nelder_mead_rand_14,nelder_mead_rand_15,nelder_mead_rand_16,powell_rand_1,powell_rand_2,powell_rand_3,powell_rand_4,powell_rand_5,powell_rand_6,powell_rand_7,powell_rand_8,powell_rand_9,powell_rand_10,powell_rand_11,powell_rand_12,powell_rand_13,powell_rand_14,powell_rand_15,powell_rand_16,bfgs_recurrent,gauss_newton_recurrent,nelder_mead_recurrent,powell_recurrent,bfgs_flat_rate,gauss_newton_flat_rate,nelder_mead_flat_rate,powell_flat_rate,pso_df,bfgs_diebold_li,gauss_newton_diebold_li,nelder_mead_diebold_li,powell_diebold_li,cbr
2016-01-04,4.196494313582327e-06,3.380350235808952e-06,2.407927539846287e-06,1.0750763246073513e-05,1.35573018365909e-05,7.83118126515211e-06,2.363653208818565e-06,3.1458826430593754e-06,2.279609530825995e-06,2.4055545113154352e-06,2.0285927881206828e-06,1.2747343601522455e-06,1.5897477769637605e-06,1.7426060358133566e-06,4.8445647518614705e-06,3.2100301415219655e-05,9.965622657975341e-06,5.105753998071201e-06,6.45729442543113e-05,4.110594645659045e-05,0.0024348167738489114,2.485854104796772e-05,1.7565414445927666e-05,5.0800044178674975e-05,2.651661880270981e-06,3.10089213832946e-05,4.308946832856074e-05,4.76247121980542e-05,0.00011523571185985111,2.6434118527732307e-06,1.2361760046191337e-05,3.531780095871475e-05,9.61864188706161e-07,9.673899734946378e-07,1.0376381069566038e-06,9.924842036143996e-07,9.888498694183895e-07,9.731675874104585e-07,1.0121606962640098e-06,1.0118396570969575e-06,1.0131046717858937e-06,9.509825632304985e-07,9.768980506176342e-07,9.927239334107535e-07,1.01160842699691e-06,1.0151438910262706e-06,1.0014719755636512e-06,9.640734446674165e-07,1.0090675228568578e-06,9.92762682873966e-07,1.0342312009589068e-06,9.892011397647827e-07,9.74999115546751e-07,1.0399128814358925e-06,9.998384518518189e-07,1.020585642566522e-06,9.796876147383574e-07,1.0026118127692457e-06,1.0137265130023184e-06,9.855288126479904e-07,9.915486495250166e-07,9.763780787384884e-07,1.0131387671596918e-06,1.052174198997758e-06,1.1770674412397483e-06,3.9080936078117206e-05,9.828302813492734e-07,1.0647294140382183e-06,1.3489716671416836e-06,1.72322154779543e-06,2.1383874384231502e-06,1.0145712353744838e-06,3.888074016295476e-06,5.528464998537722e-06,1.7302996733683658e-05,8.964000263516198e-07,8.919278088739405e-07,3.064193054572363e-05
2016-01-05,5.647759199642622e-06,3.7866854214278758e-06,7.293300854416442e-06,3.058020153862649e-05,2.771816419590011e-06,1.6027576623798552e-06,5.470366052372144e-06,7.422765618268855e-06,6.5681766678506034e-06,8.831997510695528e-06,8.20443489415686e-06,2.0977192881531227e-06,1.4181079601607106e-06,4.544733030825378e-06,2.309779260552292e-05,1.700758672598657e-06,2.9665305331558385e-05,2.5576073626304157e-05,0.0001774372509342914,2.6812441310963372e-05,0.00701499546325928,5.7459308106894625e-05,4.278243732682798e-05,3.344600399343875e-05,7.0347465193009945e-06,5.6195335947025556e-05,1.0220591305118068e-05,2.343671956319297e-06,0.00016798694663902199,6.059417057237788e-06,3.138879833467074e-05,0.0001275705792486686,1.221066202111264e-06,1.3985694650816903e-06,2.659117239861877e-06,1.2660597909381003e-06,1.3503513862507909e-06,1.30894740008733e-06,2.4599007025855083e-06,1.3367780495223101e-06,1.3269934200063532e-06,1.390825686803627e-06,1.2847577419571535e-06,1.3714811775862786e-06,1.2830019556823484e-06,1.2933114507874116e-06,1.3212153438282e-06,1.2907132465170896e-06,1.6693821585941516e-06,1.5724351848748767e-06,1.3285953446644763e-06,1.2836921131251605e-06,1.3407416636769938e-06,1.3006281370040274e-06,2.0196117800831715e-06,1.2475109843015325e-06,inf,1.299050784829484e-06,1.748535378307157e-06,1.3145608891711673e-06,1.3076462698646233e-06,1.3382205908365157e-06,1.3184779285181008e-06,1.1836023255500751e-06,1.5654572856920617e-06,1.3887192844273747e-05,1.1406910276763356e-06,1.2958290178806994e-06,2.491169906062878e-06,2.860889584471769e-06,3.601352222509647e-06,1.36731428640994e-06,1.1403979475144267e-05,1.2336038819167189e-05,3.1230073359949386e-05,1.5378366960560668e-06,1.170535633042759e-06,8.637964803829832e-05
2016-01-06,8.394836141707926e-05,8.187893696398711e-05,8.705462466547935e-05,0.00011099231235533825,7.874552393482923e-05,7.883742106486358e-05,8.366077850565178e-05,8.653030879905756e-05,8.391811959201957e-05,8.89428664013175e-05,8.765537530146063e-05,7.857438170010529e-05,7.766849266079382e-05,8.141018228485448e-05,7.983321262698379e-05,7.738434829266312e-05,0.00010576229751444149,9.904186928456916e-05,0.00014764272866247413,0.00010126997542761612,0.009376439026585604,0.0001130517582358001,9.000816532773953e-05,8.898749400118008e-05,8.738482241454267e-05,0.0001347216154031872,8.935293247757375e-05,8.28526930811439e-05,0.0001844840761267119,8.164583757817418e-05,0.0001058288992310871,0.00020393827975274,7.945616346465068e-05,7.80206309630814e-05,8.014715388346256e-05,7.643719668459201e-05,7.730392491193526e-05,7.757268451607629e-05,8.021752569358306e-05,7.696162585356503e-05,7.775503154718898e-05,7.698066107514447e-05,7.934177622900484e-05,7.538746801519728e-05,6.420041852421375e-05,7.764438643015349e-05,7.73068876840993e-05,7.385603400133258e-05,8.027203342996499e-05,7.894292299436071e-05,7.898181461643488e-05,7.646142208849882e-05,7.531106860871686e-05,7.916161794340942e-05,7.963337360534912e-05,7.805250172135721e-05,7.864015609112182e-05,8.091528695176557e-05,7.917894541360232e-05,7.200587687302613e-05,7.593113217869757e-05,7.838495160843612e-05,7.746134954427015e-05,7.627004776416945e-05,7.826865737550664e-05,8.447143554113636e-05,7.523366801011614e-05,7.578368361442877e-05,7.955840670991974e-05,8.315593744686337e-05,8.262145477725826e-05,7.796739154242658e-05,7.865748816977243e-05,8.580657958068089e-05,7.812392788277732e-05,5.998872805709458e-05,6.299902878622291e-05,0.0002590092198291654
2016-01-11,0.0002497483431944899,0.00023393239017416458,0.0002335332854072502,0.00025194993443040535,0.0002455537450899888,0.00023713198010158473,0.000235320804517569,0.0002336864014946529,0.00023830022332056944,0.00022811644204925307,0.0002507503876316576,0.00024160792404825506,0.00024019348872379254,0.00023862942028921562,0.00023593968716782433,0.00023882617225293547,0.0002693398690290678,0.0002572749680822089,0.00027133940937432556,0.0002513035675691464,0.007046700853935989,0.0002820705398875782,0.00023534671381959785,0.0002348791910540135,0.00023971692488355774,0.0002495638744515284,0.00025127753104102696,0.00024300881866298383,0.0003193260740298989,0.00023981755184097344,0.00026937676553259016,0.00029363407336072367,0.00022121737539577271,0.00023421319097927904,0.00022700644714063908,0.00023185144851630243,0.00021643117811241265,0.00023457714777942333,0.0002330885222461624,0.00023282222728473762,0.00023208427126501368,0.00021863886996297506,0.00021804908635207024,0.00021575808026694433,0.00022919539258323612,0.00023176933026883398,0.00021871240584143086,0.00021836273468982828,0.0002110306837376236,0.00023184787753687322,0.00022968271118484584,0.00022735655832432342,0.00021550378509256087,0.0001992489261133908,0.0002338858191956835,0.00021983452926618895,0.000232265689535829,0.00022520574135665675,0.00023156264076052533,0.0002360305428474059,0.00017067815537196595,0.0002326124935144245,0.0002330864290644068,0.000226323668382274,0.00024070467709939042,0.000240623228637102,0.00020514752582607906,0.00022170065685008905,0.00023720442546085478,0.00023747583536357179,0.00023098692762976722,0.00023683682553250808,0.00022793803542952795,0.0003477818967408183,0.0010638209927849368,0.00023939530752834008,0.00024081230476587809,0.0004598422750826391
2016-01-12,1.3964162005874879e-05,1.8568337710981856e-05,1.1887604754592378e-05,5.176186244550196e-05,2.4868138178538883e-05,3.064481026647613e-05,2.360823758035663e-05,2.2042778237110097e-05,2.916478563852271e-05,1.3727045138440489e-05,1.5503856955142932e-05,1.7493952898912524e-05,1.9465374304445665e-05,2.722593731209972e-05,2.2908512100272216e-05,1.5480601738428705e-05,4.482726032510653e-05,1.869138430374759e-05,9.819538891006872e-05,5.402465515721829e-05,0.0055147605715895835,4.234622302320132e-05,4.285601964206481e-05,2.3105799519418583e-05,3.787222268615983e-05,6.378801285646801e-05,1.9621890540666275e-05,2.980113085527084e-05,0.00021037346372154185,2.8828074973187966e-05,2.821673545697211e-05,0.00011103116211021108,1.1321931366380097e-05,1.1666034824194106e-05,2.8064607190404978e-05,1.1661765888492545e-05,1.982159979057443e-05,1.1540321664371684e-05,1.1272697761539465e-05,1.1305320821978964e-05,1.1666871861562155e-05,1.047286166659855e-05,1.1653199228193201e-05,1.068537329079676e-05,1.127929001392302e-05,1.1585594861528764e-05,1.111088718134961e-05,1.2677183889904025e-05,1.284087052282085e-05,1.1617994224131475e-05,1.1337227378984161e-05,1.2643733749805233e-05,1.1328335168914216e-05,1.1294690331652227e-05,1.132487177697298e-05,1.1449101014291771e-05,1.1521648158852304e-05,1.1635922723633547e-05,1.1300958265189344e-05,2.0685008133964276e-05,1.1546034569930893e-05,1.1817191130895657e-05,1.132680473800041e-05,1.1375872480758644e-05,2.0578764810937172e-05,2.3922984687983332e-05,8.427226422249843e-06,8.484119517882311e-06,2.0688830924092223e-05,3.242955127480854e-05,2.2872656377084304e-05,1.5050221949851254e-05,1.758859346320965e-05,2.043017958531208e-05,5.082146505757339e-05,8.078842233709215e-06,8.309280171669962e-06,0.000123642210188955
2016-01-13,1.3533868024724275e-05,2.0459950232792583e-05,1.1684270714408244e-05,4.2249179642698464e-05,1.8895506541880545e-05,3.308421701308556e-05,1.759379292929518e-05,1.70809456733156e-05,2.1447702312299174e-05,1.2946684180249455e-05,1.4676186361218652e-05,1.306820687849617e-05,1.6518640473720835e-05,1.9866079535463687e-05,2.5178016176028238e-05,1.2677186260693991e-05,4.4435190286122116e-05,1.9720454474682623e-05,0.00011025627603579497,4.5931254390369966e-05,0.005477725023539789,4.8050923944930224e-05,4.0648762286992725e-05,1.7447622012543754e-05,3.2705420943320774e-05,5.927587510799203e-05,2.076030261321555e-05,2.8363714593520624e-05,0.00020212157670786482,2.0712836864606748e-05,2.863380949704396e-05,0.00012046688245091938,1.0471352464447208e-05,1.0934511790225006e-05,1.1075635033659267e-05,1.109107369389806e-05,1.3875554056143076e-05,9.4495257651199e-06,1.1075622475688234e-05,1.1075654751000255e-05,1.1089115796557867e-05,1.0216192548044542e-05,1.1079162613651916e-05,1.066651758944683e-05,1.1668238093788894e-05,1.1104945694257198e-05,1.107542535718475e-05,1.052892308486854e-05,1.1687237308544204e-05,1.112256297807077e-05,1.1078056991505773e-05,1.254528957550554e-05,1.0622734608287111e-05,9.517927453042087e-06,1.1081970860108928e-05,1.1086805498464389e-05,1.1108180615089578e-05,1.0390925718081753e-05,1.132411956552589e-05,1.546323846837495e-05,1.0232920734366552e-05,1.116751173748768e-05,1.1075078469079836e-05,1.0436443949082026e-05,1.5149543570339656e-05,2.0114668336293654e-05,6.980591902690288e-06,6.618385110104218e-06,1.5105780743402466e-05,2.4227653685458143e-05,2.1175977861246213e-05,1.267431489579349e-05,1.4923211277456399e-05,2.4274868574168113e-05,5.1846645595567055e-05,1.2615625515095264e-05,7.280681651513428e-06,0.00011216093673954431
2016-01-14,2.4983090882613868e-05,2.1602203896190287e-05,2.1118500247011363e-05,4.8066191406053805e-05,2.981969971562885e-05,4.7906924701998185e-05,2.63780649104167e-05,2.5152784016624923e-05,3.085307573029588e-05,2.4587084265293203e-05,2.6854326321554804e-05,2.292685444492199e-05,2.7293670141265296e-05,2.9633116807070136e-05,3.890674925976046e-05,2.3669251403319576e-05,4.071293606653455e-05,3.4190907225311906e-05,0.00013017003879098636,5.032569048971709e-05,0.005620200335379685,5.872506562551446e-05,4.5974524798947026e-05,2.6689406727722894e-05,3.969210760787427e-05,6.446146799794788e-05,3.042192817250146e-05,3.507132955455226e-05,0.00015376118535356318,3.1275340870793195e-05,4.601952471176454e-05,0.00014373533127103933,1.6470110852692358e-05,1.981273673869805e-05,1.9112441585254263e-05,2.1748754229777746e-05,3.242506776456915e-05,1.6123260487744006e-05,2.021336550351841e-05,2.034438693120769e-05,2.0571942957919325e-05,1.6850763559435592e-05,2.25536739027672e-05,1.6768418123745292e-05,2.098420477719022e-05,2.0471989642645042e-05,2.0344003336726376e-05,2.1321921954473467e-05,2.2276657848151206e-05,2.107005530215917e-05,2.0316805540060308e-05,2.3309662643003524e-05,2.2929395909415227e-05,1.560118571584814e-05,2.0393444826258265e-05,2.0649110620197283e-05,2.061124804719338e-05,2.01729297152499e-05,2.1798611955273158e-05,2.622016086719334e-05,1.6667845170512594e-05,2.146598715542143e-05,2.0311924569860236e-05,1.995850021742263e-05,2.5996377988547597e-05,2.9091811162496805e-05,1.3770663675800841e-05,1.3324510535777782e-05,2.5422606372751857e-05,3.9078718069581193e-05,2.1529736876117426e-05,2.357270961798087e-05,3.006344479186975e-05,5.551885560615444e-05,0.00012796615544765272,2.6124333042131307e-05,2.3278336892658616e-05,0.0001798068922604294
2016-01-15,0.00012977139431034944,0.00013378702442012376,0.0001347727640784249,0.0001309178357649668,0.00013328920957358812,0.0001407710476803792,0.0001447603972674516,0.00014667278597660025,0.0001471971350816234,0.00013213976228150325,0.0001296204443589109,0.00013404832184061463,0.00012925486707484536,0.00014389257891281565,0.00013643075455543776,0.00012825751408542554,0.0001394835381300417,0.000135096025564555,0.00017526281421170083,0.00017442237664578745,0.006826834205266799,0.00014224446663381116,0.00014551573202662818,0.00014806621335168316,0.0001471022879966796,0.00017167536012234876,0.00013088806808834959,0.00013535318037575963,0.00022862717264830705,0.0001445686930936536,0.00013825587895013153,0.00019207648045894532,0.00011765566185853204,0.00012892801119530515,0.0001348760508537841,0.00012816805058079824,0.00012819276272522695,0.0001279049724731469,0.0001304789276573798,0.00012865600798271458,0.00012540359369109282,0.00012627131678363026,0.00012280734370414306,0.00012252558748993656,0.00012804363418169435,0.00012737548722587368,0.00012917208096655406,0.00012433789431728714,0.0001297892190850275,0.00012950461019016864,0.0001300586919756577,0.0001285356115404791,0.00012732590927746812,0.0001301441732735819,0.00013034712794048712,0.00012902246875376206,0.00012896184159902005,0.0001258069493789346,0.00012945438520206142,0.00012751703992501908,0.00012691481836042142,0.00012884134220770142,0.00012993272820017123,0.0001287871964430187,0.00013456133237554094,0.00013545139955849827,0.00010288866124382281,0.00010329566320892757,0.0001370589150009725,0.00014012013161152434,0.00014727352940682213,0.00012869114156845748,0.0001299097408000302,0.00013027996028911815,0.00013611066845679035,0.00012349883441900754,0.00012486751487829828,0.00043312244011113783
2016-01-18,1.6555913322859246e-05,2.2841491092546695e-05,1.1220545979542075e-05,3.625259231179453e-05,2.3315876448288226e-05,3.711339184232716e-05,1.7888791715403376e-05,1.6075424767758545e-05,2.248384070907944e-05,1.3351938439708595e-05,1.7972052720370743e-05,1.5155262219896651e-05,1.963252623493381e-05,2.155760329409495e-05,2.8180990169992014e-05,1.5553017511648783e-05,3.191542602462365e-05,3.2161910255841553e-05,0.00010183712417874264,3.598704963196348e-05,0.004914847056560163,4.012528693239022e-05,2.5808425816460882e-05,2.37064965931055e-05,3.83719129978766e-05,6.375947804135486e-05,3.612765420487997e-05,2.1755832887924662e-05,0.00023024172675699677,3.015772852369455e-05,3.1671774016640626e-05,0.00012098709376815063,1.1713483001518331e-05,1.0525535438062603e-05,1.1151051362197338e-05,1.0835489495903594e-05,1.782819809979622e-05,8.404244867612873e-06,1.0547637350633036e-05,1.0569626277445724e-05,1.0729978116383573e-05,8.489612477128015e-06,1.4698046319333567e-05,8.47001911513898e-06,1.0499650669506982e-05,1.2128258087359807e-05,1.1519674319903373e-05,9.418355594982064e-06,1.2420908778635337e-05,1.1185036538532637e-05,1.0632654053294547e-05,8.999441992009e-06,8.174627525262168e-06,8.212620053073817e-06,1.0689058066549455e-05,1.0958762694661471e-05,1.0842434355994344e-05,8.97259164502923e-06,1.2406219941836075e-05,1.4918240709821643e-05,1.0879913549091332e-05,1.204139942676761e-05,1.0606512022375143e-05,9.519322147008945e-06,1.8691628199134277e-05,5.022686862004525e-05,6.2836207332055215e-06,7.111506728991402e-06,1.731736373792644e-05,1.756779326155665e-05,2.0008171693985725e-05,1.5517859235949136e-05,1.878530242503441e-05,3.280317595914087e-05,4.6492725105393495e-05,7.359772244272293e-06,1.1038239291871474e-05,0.00012552660185838658
2016-01-19,3.440098376126192e-05,2.6507808961493105e-05,2.6554794737062526e-05,4.2056512319728455e-05,3.0239704153830093e-05,2.783592966522346e-05,2.7334097118714952e-05,2.6917967323150813e-05,2.995144002229358e-05,3.409856967365987e-05,3.6914749196053685e-05,2.6913760289802115e-05,3.0152061819499212e-05,2.9493955404583738e-05,2.705419670732079e-05,2.7371670439375037e-05,6.971264870859185e-05,4.633630282131924e-05,0.000158658796483863,5.538482561356963e-05,0.005407213420340385,6.505695296204743e-05,2.7608172072752393e-05,2.71182461146523e-05,5.152674957091402e-05,6.919874503834917e-05,4.9825187603277177e-05,5.588066548381e-05,0.00016282160106701035,3.0024868706431614e-05,5.464222300990611e-05,0.00016264737312741783,2.2209789997635702e-05,2.4810923388799608e-05,2.563701294289689e-05,2.7152200072266477e-05,3.095579182587682e-05,2.076685537091607e-05,2.5809289377773632e-05,2.5827701508759125e-05,2.5856311180203998e-05,2.2570267136639373e-05,2.6089104480036206e-05,2.063686906460938e-05,2.6378256867602926e-05,2.773668570931926e-05,2.5805680592930498e-05,2.662974373834382e-05,2.3831215537154493e-05,2.6359614755036403e-05,2.2310057389616827e-05,2.7646985787491156e-05,1.8517175999025144e-05,2.2606042477692306e-05,2.5920341405464875e-05,2.61176260100532e-05,2.6136778052307168e-05,2.4404606007886947e-05,2.641862835210156e-05,2.816642157393825e-05,2.4067331804789575e-05,2.663315032560615e-05,2.5956984004898956e-05,2.4451182055378724e-05,2.9441481620572672e-05,4.116517579713336e-05,1.734229065877025e-05,1.8371323775917932e-05,2.808963051497907e-05,3.2152466014722505e-05,2.783297812923453e-05,2.780783584958595e-05,2.636007783011447e-05,2.476164383082252e-05,0.00023614609295690263,2.3354121147088706e-05,2.4521302010119358e-05,0.00033007319615616397
