TRADEDATE,Random 1,Random 2,Random 3,Random 4,Random 5,Random 6,Random 7,Random 8,Random 9,Random 10,Random 11,Random 12,Random 13,Random 14,Random 15,Random 16,Best of Random,Recurrent,Manousopoulos,"Diebold, Li"
2014-01-09,0.9093630279805699,0.9169930936701658,0.9093412967181348,0.9095440036818311,0.9094278250366817,0.9093412967200749,0.9093658310377077,1.1021732621100953,0.9140532597708049,0.9120295488165421,0.9093464279430692,1.075357767346639,0.9093412975580114,137.64757400878852,1.228666312930171,1.3640323621522028,0.9093412967181348,0.9093413174852635,0.9093413187665195,0.9093412967171379
2014-01-10,0.02249096989367156,0.02248988745540407,0.022413174680673966,0.02265870413270419,0.022569836910634883,0.022410756804228098,0.022472800590014504,0.023469328633994452,0.02320821111727083,0.232008296208039,0.21727638879759584,0.023047678023804283,0.052435891905940814,0.022451219797456696,0.02411358034775542,0.22291255126382026,0.022410756804228098,0.022711379596980157,0.022548765677320254,0.022489887494134435
2014-01-13,0.09420652904754545,0.2128907888719546,0.09454945874749396,0.09464757026762058,0.35474282563897513,0.09421935936135137,0.09420082974027776,0.0957389852022814,0.09421822382280283,0.09521885866370212,0.3353643212492724,0.09548573078019723,0.09756949113776513,0.0934466144505783,0.09541890065103446,0.0957491150960936,0.0934466144505783,0.09644075973452584,0.09366876823545849,0.0934466146470629
2014-01-14,0.06906240428445139,0.03370489402292504,0.03226392969464508,0.0337298939374259,0.03370489223042766,1.7831130373405448,0.03370489223035403,0.033707153757483434,0.03385599329437448,0.033765946658839224,0.03381252495542152,0.033726487255401054,0.03374480189023972,0.032263929610594155,0.03370958922503329,0.03370804300047872,0.03226392961059419,0.03681948611781092,0.03370607929527595,0.032263929534126545
2014-01-15,2.292538515389188,0.8594694978770047,2.607534398208756,17.635008365991865,0.859536107527778,0.8632620726289669,0.9330697831531042,2.6404565424323656,0.8594878220032364,0.8594694992736368,0.8594774190353999,5.923776018756345,0.8596947356404621,0.8603442771156447,0.8594710378764266,0.8650774372658824,0.8594694978770047,0.9704447583042389,0.9702621492875503,0.9214597136474949
2014-01-16,0.948164692019833,4.363526168585697,0.1185809314727197,0.11488427996954241,0.11498308750612302,0.11488427996996853,0.1148842799698154,0.11488427996967333,0.11488427996936211,0.11493476422836602,0.1461166615658952,0.16413651955543426,0.11680277473081309,0.8238217253203857,0.11488427996980612,0.1148842799702802,0.11488427996936211,0.14888637034813612,0.14109623470491256,0.14109541145286644
2014-01-17,0.3552167377706355,0.284137113780538,0.34908144114094125,0.0201469680746255,0.0202507132368183,0.0202476216090691,0.021264357422617647,0.02020439650364332,0.5979067819282301,0.5430430566002334,0.020202447679397963,3.026106644024907,3.186100079068586,0.02020244767921224,0.07567821957553869,0.02020244767917659,0.0201469680746255,0.02078304334844958,0.02014946031285751,0.020146967996233934
2014-01-20,0.08838893514309183,0.06473546006909778,0.06473546006914073,0.583426895781801,0.5235112852842067,0.06482515180015261,0.2997456954703268,0.06473546006924863,1.102335616523417,0.06474761247141379,0.06485662892126502,0.29531776164067863,0.453589604952256,0.06473546937561955,0.08838157316381595,0.06473546006907441,0.06473546006907441,0.09115858515103026,0.08838308824519948,0.08838157310091353
2014-01-21,0.9529772598890387,0.02401843422118598,0.02399377057751961,0.06079640160206593,0.02399377057815934,0.6137189628562119,0.02399377057766701,0.02399377057803193,0.6012028264160186,0.024982269770729666,1.452928633916011,0.0239937705778331,0.02410959980616324,0.023993770587813545,0.06329921223192736,0.05884543977470215,0.02399377057751961,0.0633592431738679,0.058849537672621056,0.05884544042190706
2014-01-22,1.4088010147349443,1.4087974879990253,7.047770256986985,1.6027288966756064,1.5664394953111183,110.9143910573681,1.4102886402845336,1.4160819431325293,1.4087974879831633,44.96478787970892,1.4087975576302625,7.069099982964431,1.6714662113635033,1.6075594775531838,1.408973479588677,1.4153466077862509,1.4087974879831633,1.4087979454426869,1.4087979436632614,1.4087974879862537
