,L-BFGS-B,Powell,Nelder-Mead,Trust Constrained
max,0.0165,0.0162,0.0115,0.0036
min,0.0,0.0,0.0,0.0
mean,0.0016,0.0018,0.0014,0.0003
std,0.0009,0.0015,0.001,0.0004
