TRADEDATE,bfgs_rand_1,bfgs_rand_2,bfgs_rand_3,bfgs_rand_4,bfgs_rand_5,bfgs_rand_6,bfgs_rand_7,bfgs_rand_8,bfgs_rand_9,bfgs_rand_10,bfgs_rand_11,bfgs_rand_12,bfgs_rand_13,bfgs_rand_14,bfgs_rand_15,bfgs_rand_16,gauss_newton_rand1,gauss_newton_rand2,gauss_newton_rand3,gauss_newton_rand4,gauss_newton_rand5,gauss_newton_rand6,gauss_newton_rand7,gauss_newton_rand8,gauss_newton_rand9,gauss_newton_rand10,gauss_newton_rand11,gauss_newton_rand12,gauss_newton_rand13,gauss_newton_rand14,gauss_newton_rand15,gauss_newton_rand16,nelder_mead_rand_1,nelder_mead_rand_2,nelder_mead_rand_3,nelder_mead_rand_4,nelder_mead_rand_5,nelder_mead_rand_6,nelder_mead_rand_7,nelder_mead_rand_8,nelder_mead_rand_9,nelder_mead_rand_10,nelder_mead_rand_11,nelder_mead_rand_12,nelder_mead_rand_13,nelder_mead_rand_14,nelder_mead_rand_15,nelder_mead_rand_16,powell_rand_1,powell_rand_2,powell_rand_3,powell_rand_4,powell_rand_5,powell_rand_6,powell_rand_7,powell_rand_8,powell_rand_9,powell_rand_10,powell_rand_11,powell_rand_12,powell_rand_13,powell_rand_14,powell_rand_15,powell_rand_16,bfgs_recurrent,gauss_newton_recurrent,nelder_mead_recurrent,powell_recurrent,bfgs_flat_rate,gauss_newton_flat_rate,nelder_mead_flat_rate,powell_flat_rate,bfgs_diebold_li,gauss_newton_diebold_li,nelder_mead_diebold_li,powell_diebold_li
2016-01-04,0.8069678554346094,3.237577075158075,4.478272822471611,3.9518054932938766,7.448887910027839,0.27250746382525803,0.2417765481898137,0.9741587373916152,2.082120487819989,2.0372094882110106,0.3871532629344436,2.478256968892636,9.872719834652056,2.384448799842735,0.9378139183691163,0.8141223041838623,0.9579066904035306,3.1505305128844086,1.2004173233963058,4.4556014924851315,14.06548117250604,8.881784197001252e-16,3.972054645288118e-15,1.4060823145907488,2.131901331188966,3.2543343089807975,8.881784197001252e-16,2.940470488521122,0.6573710426104945,2.457562098156387,1.1187159154821122,0.9333050560713969,10.784457656749622,8.447233122588306,20.71178950801448,10.490197053749219,14.848047751557445,12.192408788818216,19.2677911457799,9.72961414295085,17.00505816501276,16.126508414953143,17.772682097451725,6.693490793503304,19.952471220469718,22.77509635776425,17.429193318636038,6.720225371756291,7.363588717442691,20.591012934305223,19.23992594812378,8.820127270997757,13.598394672151072,5.946117886281472,16.525804609047878,21.573921799525394,29.717376314423454,16.45262965928217,12.646895284375972,20.94812411874102,20.730408262571917,29.123939312595567,22.787878112126055,8.236535029300937,0.5148291914124935,6.824469888185275e-09,19.32130353157989,4.483774646084949,1.8681038121247828,1.9420761587043354,7.364596900194464,33.78541883808362,1.581007498146414,1.6435090689318705,32.31809023799214,24.472291558226928
2016-01-05,2.01464591076599,3.9349342442614725,6.695744203639525,4.018519320206862,7.910060477169541,3.44847894839509,0.2655002334726072,0.9379724190895746,2.0957988267984042,2.093281488520541,0.42492767805897685,2.4685589529754313,10.106105272998958,2.3946869510751774,0.9834159928107165,6.0074172413419955,0.9579066904035307,3.1560974273245863,1.872412783394169,4.03669040080405,15.195247583327847,8.881784197001252e-16,3.972054645288118e-15,0.7030389230230872,2.131901331188966,3.2656451697731326,0.48941058683004895,2.4570097341472636,3.8059155676802923,2.4575205743093655,1.119491743247889,0.8241366799643609,8.414388884098031,13.459254066075696,29.88806589933999,20.096567278978103,13.345961493296892,10.486192334054016,18.65281111094658,27.03771253688901,14.52488438261982,14.831237544235956,28.445210629550605,12.730280449026854,40.00314667289554,20.735252577861228,9.409252709860905,63.27451436188562,27.109033382707967,30.108065900018342,28.514467969062398,20.254629765794913,12.8143094225855,28.844694270964663,17.630618910881694,31.311557046336166,32.6043430507785,18.511762380339462,19.31963661799115,14.765970938124825,18.009190815495735,31.610064367031185,16.201816875749394,7.591972160462639,0.021755150317933736,0.28807719646272273,23.156929292971416,9.849744325342,1.892819440666277,1.9418684111578746,11.834484408490814,18.239613658164426,1.561974850004229,1.7559380489538876,30.52100783957412,20.662818567725314
2016-01-06,1.778940417101366,3.7058439088465067,6.518731916540183,3.852703132343742,7.712318529411831,3.588180672597079,0.09170498297077419,1.110600261973268,1.9212665679604917,1.9059325132067482,0.24748961439116451,2.646241838716842,10.101968720845154,2.2296047471286053,3.0156244737727422,6.046823129499897,0.7218736356468513,3.1540888145819923,3.469718012749002,4.038355272255363,14.984741808338702,0.4077587522972752,3.972054645288118e-15,1.1717647895637697,1.9986937995428695,3.0402846766587674,0.30657945708274925,2.5785257568376787,5.459683887600838,2.2527383403615318,0.8422440191373859,1.0805780168094545,17.791959931421967,26.913457252593737,29.861576645863252,31.680643183831695,13.54274404228852,17.762288354501624,14.477657257825117,42.525990796280006,10.21284366672214,57.22584665698417,13.865386100327525,11.830828778883857,100.22920509229023,7.453397410648262,22.152685449442174,16.88365649339269,17.251973242428733,30.06562820411494,27.21737529380508,37.63802276577829,12.648907201464102,6.2062562366334255,18.1796009245535,26.49312909010818,31.98200765785188,19.630674072859804,12.735960533885942,40.12298207777392,11.150209897654662,32.040387933891054,18.39912055456784,9.026768906134356,0.19743218100882526,0.2858428087354789,55.38367093607527,23.068736278513335,1.7013588521987308,1.6199587100188841,7.2049485219219624,19.00682668891778,32.918010060408285,206.17445675971857,131.27805459620294,92.88161343845567
2016-01-11,1.7337842817953868,4.375291902505048,7.515292471785181,4.124258786275414,8.256753860672605,4.651410863347885,0.3787480271761992,0.8271570739586579,2.2055809279160465,2.2215027969479304,0.5151853463986071,2.3632464788768157,10.871719675654509,2.5002867446914663,3.7800693269044627,6.8483995745358,0.9579066904035303,3.4366182773149188,4.194112157757089,4.2381666927734445,15.055902609839258,0.15990023973846845,0.3720082180318408,0.8787988808506978,2.264990911663648,3.290318512978685,0.48941058683004746,2.333383953931302,6.387117847065308,2.4575461434341244,1.0616472975358382,2.8578165172437204,23.29774845396838,30.556809883719257,17.21900751711117,16.10750218633059,29.904170431275755,17.161812411055323,18.632077936534998,4.988050247213321,27.385453415051007,17.12333198839116,31.134740964365264,76.31476538102773,31.265483605190614,20.72778598192702,39.31653894282489,28.282275367495615,97.11980712134648,9.361701159060006,19.197597447350017,20.905214008611694,57.608965772532024,88.65674138812834,15.430255843435486,32.31373628546834,27.037983300665562,4.4284229253997776,25.444222185044264,13.426992639164302,108.19334151482222,27.23036369938961,8.952255505691692,14.98324992003359,0.3282789805930073,0.21394288331112934,138.8339801269561,36.7239491167115,2.0152188300191827,2.062977801263194,6.00742621362887,23.176723497742223,13.589361634974585,186.72309225340234,108.15473805224744,85.93242779517995
2016-01-12,1.6520804049538602,3.7264503078582547,6.044419572653445,4.434047377733408,8.328939837476426,0.1544008882200182,0.6947196768659815,0.5220252640116554,2.5397197660428135,2.399862867833806,0.8258116934935333,2.0349270021946038,9.548403689995416,2.821986205207866,1.38235987033683,5.26609387595561,1.4365689594996967,3.7794303233055504,2.5227867947380327,4.446849817409229,14.966940575853783,8.881784197001252e-16,0.49600485965817326,0.4686954151834087,2.398193572885903,3.4409895483210042,0.7341156694374028,2.2016742297403193,2.542704070212909,2.8710341315818924,1.491394298484747,0.3491285985647443,17.818572758660356,19.38595849851304,18.101985159340913,22.782393226858197,12.437667746270854,20.21994294659294,16.972555321689008,8.565071166762086,28.95302764812555,44.17421620220769,20.24579519322721,23.38862821728627,22.36538817384674,29.306136263959974,14.965228501281999,24.625740412454515,27.70699853533665,14.15856430771619,16.365322766223034,9.491812378783,21.458786025652376,11.455642879814684,15.12777845685892,15.395159326735596,27.05209082518958,15.920193893576764,18.176682144470426,10.189843447265561,10.838733650718366,28.316695352783505,18.678981476733995,7.9530507480816865,0.3850532781781301,0.28529806823007764,55.66508076473574,111.24425850734451,2.397379800127868,2.58602010819715,9.503540951149589,35.77044841165725,4.772346590997893,1.603829353702412,84.1222007967652,42.64220256812433
2016-01-13,1.801021322548133,3.74872442892542,6.420446977862218,4.450293527300336,8.409617799685181,0.17438300912191124,0.7136320050868489,0.5027824193530573,2.5514036658563315,2.4133032872476523,0.8457389939654048,2.0039012048626557,9.304445120276522,2.830360826028937,1.4030678083668704,5.644807455257921,1.436529546222132,3.779800659633172,2.532855247101859,4.448326937904207,14.980539805287917,8.881784197001252e-16,0.49600485965817276,0.4686954151834078,2.398245178506576,3.443010885997439,0.7341145239660796,2.201678265166351,2.9211477223966926,2.871535362934742,1.4913942984847475,0.3485651051085581,17.23237644609715,22.857650194372987,10.043257112514814,17.838386448137786,15.208649654133787,26.461196163989197,9.118604922724726,7.796912988408149,21.507693159558738,31.87603817630839,13.755329176216561,20.804899815701432,32.860035244869664,22.67009739876468,9.269947879208276,22.979773542127962,19.027452670942456,12.775349878275597,17.19296783718594,11.015766281170372,19.38553691802696,26.30790061213838,15.752414421319699,14.918735381416411,25.720131308187003,20.456618371330773,16.631516356039008,10.069405910285075,10.612823140704888,28.244351516587546,13.80555549152143,8.028759505883395,0.019386705142945583,0.0,61.58152940932275,4.100099411834152,2.4195832606573875,2.5860201081971494,7.239546270194429,27.829893854693818,1.659188432235558,1.6538368058552955,56.39637452175012,51.61972870035968
2016-01-14,1.8000283194634956,4.175080384249152,6.654279578524476,4.428089524011258,8.433530384238603,0.14377197234644587,0.6919990499753782,0.5218240640821373,2.5291823560362596,2.3960284552661824,0.8166871716408084,2.0361900109411226,9.950986692824689,2.8101699990602405,1.3706192669031299,5.860874783540698,1.2030620872564024,3.779630601240103,2.5427642562779886,4.450247199636833,14.775655185632822,8.881784197001252e-16,0.496004859658173,0.4686954151834083,2.3982688831091985,3.469186127249832,0.7341126092702197,2.2016754270731487,4.330276632855129,2.871469293076735,1.4913942984847486,0.3493131139165908,27.887612534480443,22.447627289347366,17.38700725738144,16.990671913764448,15.370905140268283,36.02747032945049,15.268283047493656,20.90164350337661,30.867845817842525,40.59474546820702,14.152850765211134,23.23609739423482,24.65216967284053,16.505131115679905,18.332694498776323,25.82218575000196,16.06015565636256,12.696272314207768,9.8278327592036,10.41411007581523,15.583684115856755,66.65165347380389,17.531765032424563,16.144171256790127,25.009093857628482,53.839397283931945,24.533409700185395,10.186067726972826,29.489087732614113,28.132395743657323,12.909155741105346,8.362352222808203,0.01595777686353976,0.0,35.846433132902575,9.796524104733365,2.3775986435873944,2.586020108197151,13.767698564295939,35.67015621320388,1.8346054236048444,1.6496635458970201,88.85392624594373,128.37342296130709
2016-01-15,1.5852144775331034,3.677881494772689,5.501076818965503,5.272048798002616,8.160286243324103,0.1182630593495653,0.6361297684904639,0.5744016019088048,2.482663139582504,2.3564845474310343,0.7761332525109693,2.087316586774002,8.873147148237745,2.7634475413121633,1.3401280753387093,4.951714344307092,1.1444541173384901,3.623149589568644,3.143811496060262,4.450287590496071,14.90601474587561,0.0680011727044734,0.6822388953779146,0.5271631262813381,2.4640753216156344,2.992071499403608,0.7341157383502279,2.1414581667968013,4.264223761537686,2.7679769133838605,1.3984283216763835,0.9027195734172454,78.75257248988699,19.616893559491444,18.175189493703325,16.959025526183687,25.12819442644498,87.34963292203041,14.883215001558238,25.350737661807074,102.7551468188233,30.958533838204087,131.98570344431857,41.36209795062534,53.96889742586697,30.097700623514235,16.10567981517637,19.844127539053964,12.317092587809167,19.07043593615455,27.58799884300583,18.05002220652987,13.997381793686694,4.992668269618548,19.26629390026868,21.242740530283875,30.35719322680637,32.42180072767119,16.45900518559156,25.226589181324265,10.549788904061163,30.471815819502876,22.175123228936446,6.826599421893838,0.05115573434128286,0.0,7.838955723720305,16.90740307617788,2.33695686337541,2.4250246714433494,7.385131469536005,10.946342973277764,0.666139497474555,0.6351936000883739,31.515834521357256,112.4251557310481
2016-01-18,1.8917078301837147,3.938132616522308,6.472268990766185,4.5858565325548675,8.680868343693334,0.3551468477093139,0.8733775401509715,0.33732081280617104,2.715570589741299,2.601578829702254,1.0148036893414825,1.830178742391635,9.928540193383675,3.003622182854862,1.5786925651589443,5.944433972101113,1.436673254167703,3.7801987627548144,2.6599318880867027,4.661524634662312,15.136439953941887,0.27200469081789225,0.7439952059676845,0.46869541518340885,2.931117402965346,3.4038133395900134,1.2238550232818253,1.7114256034153568,2.26004602411698,2.8720829095039764,1.4913942984847461,0.2333262640178489,19.869548735414,18.840283099769636,16.70850168780216,18.80758353136185,16.18370783923026,38.29284700327593,17.855748052844405,10.622713011476993,22.58910138576441,76.89715703304768,13.866899247582937,33.02914711775703,43.10414906349043,21.497737157152763,11.566436294582005,20.906305497482798,19.363821908443146,13.64215196954835,9.251337273949082,21.138051377779895,46.355237536347545,48.988997723471556,19.36655514784474,12.518316308696885,26.177656610971557,28.62517367445402,24.886535020131856,15.197324974787747,10.70741640581246,28.130443368348516,13.159695526894986,24.268877556065654,0.27731504031187604,0.0,14.264850346375304,16.763476031334825,2.6135060120017757,2.586020108197152,4.335541370622493,35.69808555549474,1.6765497949065478,1.6693589857578506,88.28310627554187,55.81068804089151
2016-01-19,1.999493726742503,4.5310089880617035,6.707761385723265,4.495817317281641,8.623500745317967,4.386415726230063,0.7674216798356583,0.4475358141793747,2.6054921462280944,2.6463192862858143,0.8919296433042666,1.960061057434061,10.62012409604842,2.883893076785053,3.6426240238635357,6.541283016426113,1.4364543782096477,3.780323889076124,2.5458856672104226,4.452770090833156,14.79339289305917,0.2720046908178931,0.7440011297001815,0.4686954151834083,2.3983265943380125,3.4717824566050832,0.7341102386453083,1.711419033306872,4.715448711424341,2.87234297245307,1.4913942984847472,0.37947966893853685,19.752004808723754,22.863637041454634,19.104687804753258,9.089973479784252,15.448821482204044,40.25463718140709,9.847930285287244,10.02053585568537,23.024841712791382,50.56716516997291,18.339701689127708,44.232824309842066,21.822905018985807,16.974485342238477,14.08721521254302,22.15897216192421,26.469608485953806,10.541434818990272,38.106796010856215,8.31038663749855,126.36449145136909,23.652952782925656,15.28237982526597,11.690981468501706,23.281576591353254,5.44035753386308,13.24709243435625,9.99274397765692,10.582565955861195,27.565131121917343,7.886949371026849,9.65167239576661,0.14101130744863688,0.0,1.4048544964397032,1.791471426211942,2.463856368193396,2.5860201081971512,12.337068583548563,35.60414946863066,18.841736275169218,1.6389436099195251,80.89916228419676,64.36609436863866
